Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1-1,996,4240,15,3937,3929,468,29,496_243_104,14_1_7,12,[9_21] (14_1),12,[9_21] (14_1),2764,[1800_3380],2764,[1800_3380],55,15,[0_18] (8_61),83,7.15,7.33,182,160
1-2,1132,4892,20,4864,4859,27,148,2246_1265_481,8_2_3,10,[3_23] (73_1),10,[3_23] (73_1),6220,[3850_7640],6220,[3850_7640],63,17,[0_23] (1_3),96,0.57,0.67,85,78
1-3,1155,4710,15,4649,4641,84,712,1822_1022_423,11_3_9,8,[1_22] (1_1),8,[6_22] (805_1),4295,[2830_5750],4295,[2830_5075],65,13,[0_18] (5_15),141,1.30,1.46,177,177
1-4,1012,4303,15,4274,4272,33,24,43_66_30,2_0_4,9,[0_18] (1_1),9,[6_18] (161_1),3520,[2200_5255],3519,[2200_4105],44,11,[0_18] (6_1),56,0.67,0.72,50,43
1-5,975,3673,15,3656,3651,9,13,31_56_27,4_3_4,6,[0_17] (1_3),6,[3_17] (281_3),3929,[2135_5215],3929,[2135_5215],42,11,[0_15] (3_12),52,0.46,0.60,73,73
1-6,956,3878,15,3864,3862,0,89,5_7_1,4_1_4,3,[0_14] (1_1),3,[2_14] (1434_1),4554,[2330_5150],4554,[2330_5100],39,5,[0_20] (7_1),98,0.36,0.41,69,60
1-7,922,3705,20,3585,3584,72,266,281_587_192,2_1_0,9,[7_24] (1835_1),9,[7_24] (1835_1),5161,[2850_5540],5162,[2850_5540],56,19,[0_23] (5_23),114,3.24,3.27,34,17
2-1,1147,5008,15,4214,4197,886,3,2381_1324_509,34_14_8,13,[10_20] (396_2),13,[10_20] (396_2),2976,[2250_3500],2976,[2250_3500],79,16,[0_23] (4_1),122,15.85,16.19,567,349
2-2,1252,5215,14,5102,5088,364,112,88_39_21,8_12_4,12,[8_17] (17_18),12,[8_17] (17_17),2248,[1600_3030],2247,[1600_3030],50,14,[0_22] (2_1),71,2.17,2.44,182,173
2-3,1203,5262,15,4977,4960,262,31,1197_695_284,35_15_6,8,[5_22] (665_1),8,[5_22] (662_1),4049,[2360_4930],4048,[2360_4930],59,16,[1_23] (1_1),95,5.42,5.74,414,344
2-4,1096,4843,15,4310,4277,1076,33,1150_2274_865,32_30_10,12,[7_22] (106_2),12,[7_22] (105_2),3944,[2800_4955],3945,[2800_4955],73,16,[5_18] (1_131),99,11.01,11.69,598,510
