Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1-1,1079,4281,15,3941,3934,517,25,520_251_153,24_4_5,12,[9_27] (24_1),12,[9_27] (24_1),2764,[1800_3550],2764,[1800_3400],55,15,[0_18] (3_77),82,7.94,8.11,306,260
1-2,1200,4816,20,4779,4775,51,239,2232_1220_501,10_1_3,11,[4_23] (23_1),11,[4_23] (23_1),5971,[3935_7440],5971,[3935_7440],68,15,[0_25] (7_1),123,0.77,0.85,95,81
1-3,1165,4790,15,4720,4711,104,751,1816_1034_425,12_7_3,9,[4_22] (1_1),9,[6_18] (790_6),4279,[2730_5180],4280,[2730_5130],66,13,[0_18] (8_13),108,1.46,1.65,143,143
1-4,1131,4841,15,4791,4783,56,47,37_100_33,8_5_7,9,[0_19] (2_1),9,[6_19] (145_1),3515,[2200_5255],3514,[2200_4055],45,13,[0_18] (6_4),87,1.03,1.20,142,142
1-5,1026,4143,15,4117,4115,11,24,42_102_39,3_1_2,6,[3_18] (333_1),6,[3_18] (333_1),3924,[1860_4545],3924,[1860_4545],44,11,[0_18] (5_6),72,0.63,0.68,68,48
1-6,982,3714,15,3705,3702,3,93,6_15_1,10_1_5,3,[0_16] (1_1),3,[2_16] (1383_1),4538,[2715_5350],4537,[2715_5350],39,7,[1_15] (3_3),44,0.24,0.32,110,98
1-7,932,3454,20,3392,3391,50,220,322_651_222,3_0_4,9,[0_23] (1_4),9,[7_23] (1404_4),5129,[2800_6900],5129,[2800_5550],59,20,[0_28] (2_1),144,1.80,1.82,103,57
2-1,1158,4472,15,3817,3788,833,2,2134_1192_489,32_31_8,13,[7_21] (1_2),13,[10_21] (351_1),2994,[2250_4100],2994,[2250_3650],80,16,[0_105] (1_1),128,14.65,15.30,1104,472
2-2,1303,5371,14,5267,5253,420,93,81_46_17,19_8_11,12,[0_17] (1_21),12,[8_17] (5_21),2212,[1700_4850],2211,[1700_3355],51,14,[0_17] (4_22),64,1.94,2.20,264,241
2-3,1215,5333,15,5048,5023,349,70,1167_699_298,34_18_17,8,[4_20] (1_1),8,[5_20] (732_1),4037,[2315_5400],4038,[2315_5400],59,16,[3_18] (1_105),100,5.34,5.81,495,476
2-4,1177,4946,15,4429,4382,1337,45,1086_2405_921,45_30_30,12,[0_23] (1_1),12,[7_23] (114_1),3946,[2400_6355],3947,[2400_5000],73,16,[0_18] (1_169),101,10.45,11.40,802,740
2-5,1103,4507,15,4139,4115,1527,823,1063_2287_778,57_25_28,13,[0_20] (1_3),13,[8_20] (58_3),2463,[1600_4950],2462,[1600_3555],70,16,[0_18] (1_116),95,8.17,8.70,839,822
2-6,1058,4230,20,3998,3971,814,245,1232_2955_1148,50_25_8,16,[9_26] (18_1),16,[9_24] (18_4),3633,[2600_5105],3632,[2600_5105],95,21,[6_23] (1_53),113,5.48,6.12,537,532
3-1,1265,4801,20,4800,4796,3,0,0,17_1_6,7,[0_23] (3_1),7,[6_23] (656_1),4307,[1865_6000],4306,[1865_5100],42,0,[0_0] (1_1),1,0.02,0.10,143,143
3-2,1374,5531,15,4927,4860,2044,475,2535_1500_632,45_50_37,13,[0_23] (1_1),13,[8_22] (30_3),2477,[1650_4955],2477,[1650_3300],60,16,[1_23] (1_2),82,10.92,12.13,1068,998
3-3,1314,5388,14,4527,4452,2771,904,2524_1354_647,106_61_32,13,[7_23] (7_1),13,[7_23] (7_1),3591,[2915_6000],3591,[2915_4560],82,15,[4_17] (1_376),104,15.98,17.37,1501,1391
3-4,1193,4851,20,3396,3321,2303,780,3048_0_0,137_53_42,18,[0_33] (1_1),18,[7_33] (2_1),3785,[2560_7200],3782,[2560_5900],102,21,[0_28] (2_3),123,29.99,31.54,1739,1556
3-5,1166,5337,20,2683,2540,1012,181,758_1531_723,63_112_73,14,[5_26] (1_1),14,[6_25] (15_5),3342,[1705_5150],3363,[1705_4905],99,21,[1_33] (1_1),133,49.73,52.41,2344,1773
4-1,1013,3128,15,2594,2546,1642,194,1332_808_344,123_32_22,13,[6_23] (3_2),13,[6_23] (3_2),3801,[2900_5115],3801,[2900_5115],87,17,[13_23] (1_1),102,17.07,18.61,1287,1198
4-2,1124,3597,15,2840,2776,3922,37,2040_576_0,95_47_33,15,[5_24] (1_1),16,[12_24] (48_1),2596,[1600_4415],2593,[1600_3700],78,17,[13_23] (2_1),88,21.05,22.82,1389,1339
4-3,1025,3366,12,1607,1461,4543,5932,1384_225_0,171_163_68,14,[7_22] (1_1),14,[10_22] (3_1),3404,[2950_4655],3401,[2950_4525],98,14,[8_20] (2_5),102,52.26,56.60,3493,3175
4-4,1018,3721,10,1628,1537,4125,31,1213_189_0,215_65_57,12,[0_23] (1_1),12,[7_23] (3_1),2243,[1440_4100],2233,[1440_3610],79,12,[1_23] (1_1),92,56.25,58.69,3463,2969
4-5,953,3127,18,2112,2038,1603,416,572_1303_611,83_59_45,17,[7_27] (1_1),17,[7_27] (1_1),5116,[4350_6900],5119,[4450_6900],118,20,[6_26] (1_3),131,32.46,34.83,1704,1495
4-6,923,2553,10,2392,2365,1061,132,488_995_419,40_20_10,9,[4_16] (1_1),9,[6_16] (193_1),3075,[2155_3960],3074,[2155_3920],62,11,[10_13] (93_65),76,6.31,7.36,557,537
