Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1,2497,2747,15,2726,2726,0,0,0,0,3,[2_15] (2086_2),3,[2_15] (2086_2),3853,[1350_3955],3853,[1350_3955],25,15,[15_15] (21_21),88,0.76,0.76,0,0
2,2188,2709,15,2259,2258,0,2,3_2_0,2_1_1,5,[4_15] (1394_7),5,[4_15] (1394_7),4182,[1860_4620],4182,[1860_4620],38,13,[0_15] (47_367),64,16.61,16.65,25,25
3,1922,2228,15,2069,2069,0,96,0,0,5,[3_15] (139_5),5,[3_15] (139_5),3994,[1950_4465],3994,[1950_4465],38,13,[0_15] (21_131),57,7.14,7.14,5,0
4,1771,2109,15,1886,1885,0,118,6_2_2,3_0_1,5,[2_15] (105_14),5,[2_15] (105_14),3803,[1565_4385],3803,[1565_4385],40,14,[0_15] (3_206),63,10.57,10.62,47,23
5,1611,2039,15,1809,1808,0,143,20_11_3,1_0_1,9,[4_15] (1_14),9,[7_15] (94_14),2834,[1350_4000],2833,[1350_3290],47,14,[0_15] (3_214),78,11.28,11.33,55,13
6,1532,1861,18,1679,1679,0,2,18_12_2,1_0_0,9,[5_18] (1_8),9,[5_18] (1_8),4194,[2255_5000],4194,[2255_5000],55,17,[0_18] (3_164),142,9.78,9.78,5,5
7,1477,1674,17,1604,1603,0,33,16_11_3,3_0_1,5,[3_17] (190_5),5,[3_17] (190_5),4644,[1960_5085],4645,[1960_5085],44,15,[0_17] (3_61),84,4.18,4.24,41,23
8,1439,1618,15,1572,1570,0,15,4_0_2,135_1_2,5,[3_16] (435_3),5,[3_16] (435_3),3838,[1655_4950],3839,[1655_4950],52,14,[0_15] (1_37),95,2.84,2.97,765,698
9,1405,2235,10,1489,1487,35,1521,13_10_2,255_1_1,8,[5_20] (40_1),8,[5_20] (40_1),2303,[1500_3205],2303,[1500_3205],62,10,[0_10] (3_732),65,33.38,33.47,1948,1363
10,1347,1543,12,1489,1488,5,29,20_7_3,68_0_1,6,[3_15] (63_1),6,[3_12] (63_19),3757,[2285_4635],3757,[2285_4635],47,11,[2_22] (3_1),77,3.50,3.56,395,357
11,1299,1525,15,1456,1453,5,312,11_7_2,47_1_2,9,[3_18] (33_1),9,[3_18] (33_1),4296,[2805_5580],4297,[2805_5580],60,17,[6_136] (1_1),98,4.52,4.72,1069,267
12,1270,1857,15,1366,1361,10,178,26_13_4,171_1_4,12,[6_19] (2_1),12,[6_19] (2_1),3981,[2905_5555],3982,[2905_5555],81,15,[0_61] (2_1),87,26.44,26.71,1649,912
13,1216,1425,15,1323,1310,10,657,13_6_2,66_7_7,9,[0_18] (1_1),9,[4_18] (59_1),3844,[2115_5590],3846,[2115_5125],60,14,[0_15] (1_92),81,7.16,8.07,520,454
14,1205,2028,17,1639,1623,30,4,41_13_6,111_14_6,15,[10_23] (56_1),15,[10_23] (56_1),2526,[1800_3950],2524,[1800_3950],68,17,[0_27] (2_1),77,19.18,19.97,942,763
15,1175,3262,15,1092,1056,155,56,11_4_1,236_10_27,14,[8_40] (3_1),14,[8_40] (1_1),2370,[1805_3755],2367,[1805_3755],76,15,[0_25] (5_2),74,66.52,67.63,2894,1916
16,1007,1152,15,1121,1120,35,48,6_4_0,8_1_0,8,[5_42] (73_1),8,[5_42] (73_1),3556,[2155_4470],3556,[2155_4470],55,14,[5_15] (1_28),87,2.69,2.78,215,200
17,1010,1424,15,1228,1227,40,10,34_15_9,29_1_0,9,[5_25] (109_1),9,[5_25] (109_1),3209,[1550_4350],3209,[1550_4350],63,15,[0_15] (1_191),77,13.76,13.83,291,234
18,984,1577,10,1080,1070,60,86,7_6_0,38_2_8,8,[4_15] (1_1),8,[4_15] (1_1),2540,[1890_3420],2539,[1890_3350],52,10,[0_15] (1_1),61,31.52,32.15,506,376
19,971,2471,13,1055,1020,170,10,90_11_0,212_15_25,12,[8_37] (1_1),12,[10_37] (29_1),2537,[2100_4150],2531,[2100_4150],76,13,[0_23] (4_1),76,57.30,58.72,2389,1802
20,919,1035,15,1000,998,5,80,1919_49_36,10_0_2,7,[4_19] (96_1),7,[4_15] (96_13),4118,[2385_5010],4119,[2385_5010],83,14,[1_15] (1_31),102,3.38,3.57,75,75
21,916,1217,12,999,993,40,11,960_52_31,45_4_2,10,[6_23] (20_1),10,[6_23] (20_1),2961,[2050_4060],2962,[2050_4060],78,12,[0_12] (1_210),90,17.91,18.41,468,381
22,907,965,20,959,959,0,417,172_11_9,1_0_0,5,[4_18] (568_1),5,[4_18] (568_1),6073,[3415_6300],6073,[3415_6300],46,21,[20_25] (5_1),192,0.62,0.62,29,5
23,905,1586,15,947,927,75,161,1154_38_85,70_8_12,13,[7_24] (12_2),13,[7_24] (12_2),4738,[3870_5950],4736,[3870_5950],105,15,[0_20] (1_1),117,40.29,41.55,841,677
24,874,1184,10,947,941,35,3,564_26_24,36_1_5,8,[4_16] (30_1),8,[4_16] (30_1),2718,[1880_3680],2718,[1880_3680],57,10,[0_10] (3_229),66,20.02,20.52,359,300
25,880,3493,21,839,797,290,21,1585_35_64,108_26_32,20,[12_85] (1_1),20,[12_85] (1_1),3465,[2945_6455],3460,[2945_6455],138,21,[0_26] (3_6),137,75.98,77.18,2761,1940
26,778,832,15,831,821,0,3,3_1_0,2_12_3,4,[1_14] (2_1),4,[3_14] (320_1),4228,[2205_5105],4226,[2205_4715],49,15,[15_15] (1_1),89,0.12,1.32,115,115
27,762,855,20,830,798,10,118,580_320_36,7_42_5,12,[3_25] (1_1),12,[6_22] (1_1),4100,[2550_6250],4096,[2550_5385],89,16,[0_20] (1_19),104,2.92,6.67,414,380
28,752,1046,15,813,763,15,9,501_265_24,6_62_8,9,[6_20] (130_2),9,[6_20] (129_1),4877,[3600_5800],4904,[3600_5800],69,15,[0_97] (1_1),105,22.28,27.06,1691,540
29,757,1069,10,804,746,95,8,501_280_22,14_65_3,8,[5_15] (8_1),8,[5_15] (6_1),2781,[2285_3700],2785,[2285_3700],67,10,[10_10] (265_265),81,24.79,30.22,817,713
30,827,5894,18,600,340,445,128,996_138_0,175_352_56,18,[10_41] (1_1),18,[11_35] (1_1),4767,[4000_6500],4720,[4000_6025],156,18,[0_33] (5_2),136,89.82,94.23,8601,4895
31,569,632,15,612,612,20,20,8_6_2,3_0_0,10,[8_27] (203_1),10,[8_27] (203_1),2534,[1200_3100],2534,[1200_3100],40,13,[4_20] (4_2),67,3.16,3.16,106,81
32,571,726,15,629,617,15,115,0_558_0,14_13_4,10,[5_18] (9_1),10,[5_18] (9_1),3512,[2150_4450],3520,[2150_4450],71,14,[0_20] (2_2),177,13.36,15.01,298,219
33,574,775,25,630,615,90,71,267_841_71,8_11_7,20,[7_33] (1_1),20,[9_33] (1_1),5461,[3705_8100],5465,[3705_7950],121,25,[1_30] (1_4),139,18.71,20.65,419,354
