Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1,1277,1456,15,1331,1331,0,2,0,0,4,[3_15] (1058_8),4,[3_15] (1058_8),1902,[1200_1950],1902,[1200_1950],36,15,[3_15] (1_123),109,8.59,8.59,0,0
2,1096,1318,15,1127,1127,0,8,0,1_0_0,4,[3_15] (875_5),4,[3_15] (875_5),2477,[1550_2580],2477,[1550_2580],49,12,[0_15] (29_143),92,14.49,14.49,5,5
3,994,1118,18,1035,1035,0,2,0,2_0_0,6,[4_18] (137_5),6,[4_18] (137_5),2193,[1250_2350],2193,[1250_2350],198,16,[2_18] (1_71),79,7.42,7.42,20,10
4,912,1118,10,935,935,0,5,0,1_0_0,4,[3_10] (502_17),4,[3_10] (502_17),1830,[1130_1935],1830,[1130_1935],111,10,[0_10] (4_174),45,16.37,16.37,31,5
5,864,954,15,893,893,0,35,5_2_0,0,8,[4_15] (2_8),8,[4_15] (2_8),2018,[1600_2155],2018,[1600_2155],99,13,[0_15] (5_50),82,6.39,6.39,0,0
6,825,1161,12,839,838,0,10,6_1_2,0_0_1,9,[6_12] (33_79),9,[6_12] (33_78),2052,[1640_2250],2052,[1640_2250],110,12,[2_12] (3_313),63,27.73,27.82,21,8
7,787,838,17,818,818,0,13,5_2_0,0,5,[3_17] (69_1),5,[3_17] (69_1),2858,[2235_3020],2858,[2235_3020],52,17,[17_17] (20_20),108,2.39,2.39,0,0
8,758,801,15,783,783,0,7,0,61_0_0,5,[3_16] (206_2),5,[3_16] (206_2),2264,[1750_2705],2264,[1750_2705],63,12,[5_15] (1_12),257,2.25,2.25,335,305
9,747,903,12,767,765,10,761,4_3_2,90_0_2,9,[5_18] (13_1),9,[5_18] (13_1),2132,[1600_2455],2132,[1600_2455],85,12,[3_12] (2_133),223,15.06,15.28,565,465
10,728,803,10,753,752,0,11,3_0_1,37_0_1,6,[3_11] (37_4),6,[3_11] (37_4),2635,[2250_2835],2635,[2250_2835],63,10,[5_10] (1_48),588,6.23,6.35,211,193
11,706,766,15,731,731,5,164,1_2_0,12_0_0,9,[3_16] (20_1),9,[3_16] (20_1),3367,[2820_3780],3367,[2820_3780],73,14,[0_15] (1_30),525,4.57,4.57,105,60
12,686,1198,15,658,653,40,274,1_2_0,71_4_5,10,[4_30] (9_1),10,[4_27] (9_1),3798,[3205_4460],3797,[3205_4460],81,15,[5_15] (1_519),141,45.08,45.49,1025,505
13,624,693,15,643,643,0,281,0_1_1,16_0_0,9,[4_16] (18_2),9,[4_16] (18_2),2678,[2100_3225],2678,[2100_3225],83,15,[15_15] (50_50),462,7.22,7.22,90,80
14,629,695,10,647,646,0,495,1_0_1,14_1_1,6,[4_10] (75_17),6,[4_10] (75_17),2238,[1950_2485],2238,[1950_2485],47,10,[1_10] (1_47),70,6.91,7.05,90,85
15,628,1110,18,630,627,5,31,3_4_2,61_1_5,15,[7_21] (1_1),15,[7_21] (1_1),2305,[1960_2870],2306,[1960_2870],103,18,[9_18] (1_467),188,43.24,43.51,591,353
16,592,642,15,621,621,0,21,2_0_0,1_0_0,8,[5_15] (55_9),8,[5_15] (55_9),2538,[2160_2770],2538,[2160_2770],127,14,[2_15] (1_19),81,3.27,3.27,5,5
17,588,1022,10,604,602,20,3,2_0_0,41_1_3,8,[5_17] (91_1),8,[5_17] (90_1),1846,[1400_2255],1846,[1400_2255],90,10,[1_10] (1_407),97,40.90,41.10,360,234
18,571,742,10,583,581,5,31,1_0_0,19_0_2,8,[4_11] (2_6),8,[4_11] (1_6),2258,[1905_2640],2258,[1905_2640],60,10,[9_10] (1_158),63,21.43,21.70,141,111
19,566,700,15,578,576,5,0,5_1_0,33_0_2,11,[7_18] (31_1),11,[7_18] (31_1),2547,[2100_2850],2548,[2100_2850],77,15,[9_20] (1_1),376,17.43,17.71,266,181
20,559,592,15,576,576,0,31,1133_4_5,5_0_0,7,[4_15] (50_2),7,[4_15] (50_2),2944,[2305_3305],2944,[2305_3305],85,13,[1_15] (1_14),106,2.70,2.70,25,25
21,556,927,10,564,564,10,13,550_7_5,65_0_0,9,[6_17] (23_1),9,[6_17] (23_1),2251,[1950_3035],2251,[1950_3035],74,10,[2_10] (2_357),79,39.16,39.16,383,333
22,544,640,10,561,561,5,283,23_0_1,8_0_0,7,[5_14] (187_1),7,[5_14] (187_1),2743,[2410_2955],2743,[2410_2955],53,10,[4_10] (1_78),59,12.34,12.34,44,39
23,533,1017,15,537,532,15,71,525_1_13,44_1_5,13,[7_19] (3_1),13,[7_19] (3_1),4332,[3905_4740],4332,[3905_4740],107,15,[2_15] (1_465),318,47.20,47.69,393,265
24,526,677,10,546,546,10,1,169_3_1,17_0_0,8,[4_12] (22_1),8,[4_12] (22_1),2291,[1815_2655],2291,[1815_2655],54,10,[5_10] (1_129),64,19.35,19.35,105,85
25,534,1846,20,921,899,35,46,1197_210_40,58_24_5,17,[10_30] (2_1),17,[10_30] (1_1),3183,[2860_3700],3183,[2865_3700],138,19,[1_25] (2_1),149,50.11,51.30,707,501
26,489,507,15,506,504,0,4,0,0_2_0,5,[4_13] (219_2),5,[4_13] (218_2),2510,[2055_2605],2511,[2055_2605],52,15,[15_15] (1_1),67,0.20,0.59,14,14
27,490,523,20,508,492,0,85,338_162_4,4_20_1,12,[8_20] (35_7),12,[8_20] (33_7),2981,[2550_3355],2985,[2550_3355],124,18,[4_20] (1_13),122,2.87,5.93,184,164
28,482,610,15,485,466,0,3,105_75_1,3_22_4,9,[5_15] (1_12),9,[6_15] (116_7),4059,[3605_4255],4066,[3665_4250],79,15,[7_15] (1_116),310,20.49,23.61,544,197
29,482,622,10,485,452,5,2,277_162_1,6_33_2,8,[5_11] (1_4),8,[6_11] (36_4),2497,[2205_2810],2497,[2205_2810],64,10,[9_10] (1_136),84,22.03,27.33,343,275
30,496,1549,20,439,352,50,121,383_211_7,45_128_4,19,[12_27] (2_1),19,[12_27] (2_1),4538,[4080_5300],4536,[4080_5300],158,20,[0_30] (1_1),283,71.66,77.28,1914,1123
31,430,445,15,438,436,0,17,0,0_2_0,10,[5_15] (1_5),10,[8_15] (119_5),1712,[1450_1950],1711,[1450_1850],48,14,[9_15] (1_6),56,1.57,2.02,14,14
32,425,480,15,432,423,10,76,141_73_1,6_10_1,9,[5_17] (48_1),9,[5_16] (48_3),2664,[2100_3005],2667,[2100_3005],68,15,[11_15] (1_47),201,10.00,11.88,146,106
33,431,521,25,434,420,5,34,373_214_6,4_12_4,20,[13_27] (9_1),20,[13_27] (9_1),4733,[4200_5150],4738,[4200_5150],308,25,[8_25] (1_86),171,16.70,19.39,180,136
34,426,440,20,433,428,0,4,172_96_3,3_5_0,10,[4_20] (12_5),10,[4_20] (12_5),3902,[3300_4400],3905,[3300_4400],86,20,[20_20] (7_7),149,1.59,2.73,50,50
35,431,551,15,432,426,10,687,222_116_5,9_6_0,10,[6_25] (64_1),10,[6_25] (64_1),3294,[2650_3640],3298,[2650_3640],104,15,[4_15] (1_118),159,21.60,22.69,137,95
36,426,435,15,433,432,0,5,5_0_0,3_1_0,6,[5_14] (228_1),6,[5_14] (228_1),2626,[2205_2705],2626,[2205_2705],47,8,[2_15] (1_1),58,0.46,0.69,22,22
37,425,443,25,432,431,0,61,56_23_2,2_1_0,10,[6_25] (14_2),10,[6_25] (14_2),4654,[3665_4950],4654,[3665_4950],169,23,[1_25] (1_10),181,2.48,2.71,17,17
38,465,1302,18,433,377,40,51,273_144_6,35_65_4,16,[9_26] (1_1),16,[12_26] (2_1),3263,[2630_3930],3258,[2630_3930],110,18,[2_23] (1_5),178,66.74,71.04,1079,661
39,478,2243,17,389,306,90,75,311_73_9,71_101_8,16,[10_26] (2_1),16,[10_26] (2_1),3604,[3165_4310],3605,[3165_4130],136,17,[3_22] (1_1),213,82.66,86.36,1684,1124
40,384,465,15,391,387,0,164,167_85_2,2_3_2,9,[4_16] (20_1),9,[4_15] (20_13),2365,[1915_2685],2367,[1915_2685],90,15,[8_15] (1_72),110,15.91,16.77,54,47
41,382,440,20,399,390,0,74,246_136_8,8_8_1,10,[5_19] (3_4),10,[5_19] (3_3),2806,[2250_3140],2809,[2250_3140],107,18,[1_20] (1_36),146,9.32,11.36,118,104
42,424,1056,17,398,335,60,4,267_126_7,50_72_1,16,[11_21] (4_3),16,[11_21] (4_1),2164,[1850_2750],2157,[1850_2750],124,17,[0_22] (1_4),150,62.31,68.28,1121,752
43,380,400,15,396,371,0,2,1_1_2,0_2_24,7,[2_15] (1_5),7,[4_15] (71_5),2608,[2060_2855],2609,[2060_2780],90,15,[15_15] (4_4),112,1.00,7.25,207,207
44,377,509,15,384,346,5,2,187_87_57,2_2_39,11,[2_16] (1_1),11,[6_16] (1_1),2373,[1855_2735],2373,[1855_2685],99,15,[4_15] (1_123),313,24.56,32.02,433,339
45,424,1636,20,370,215,55,605,349_82_115,35_41_195,18,[2_26] (1_1),19,[9_26] (1_1),3849,[3300_4415],3852,[3300_4295],220,20,[0_25] (2_1),171,77.38,86.86,2723,2052
46,358,374,20,374,374,0,5,113_69_23,0,8,[5_14] (33_4),8,[5_14] (33_4),3078,[2600_3385],3078,[2600_3385],65,,,,,,0,0
47,362,368,20,368,367,0,631,0_1_1,0_0_1,5,[4_11] (143_1),5,[4_11] (143_1),3400,[2900_3725],3400,[2900_3725],69,,,,,0.27,8,8
48,361,373,25,367,360,0,12,143_93_28,0_3_5,15,[9_25] (2_2),15,[9_25] (2_2),2904,[2255_3345],2909,[2300_3345],88,23,[11_25] (1_5),103,1.61,3.49,60,60
49,367,513,20,367,335,15,50,192_116_59,12_6_31,17,[11_25] (2_1),17,[11_25] (1_1),3381,[2500_4270],3378,[2500_4270],119,20,[1_20] (1_144),410,28.46,34.70,419,350
50,395,1942,15,347,192,100,10,140_125_79,35_50_149,14,[7_20] (1_3),15,[12_20] (5_2),3466,[3250_4150],3449,[3250_3910],302,15,[0_20] (1_1),202,82.13,90.11,1988,1731
51,348,389,15,389,386,0,0,3_2_0,6_2_1,4,[3_15] (254_1),4,[3_15] (252_1),3009,[2250_3665],3010,[2300_3665],41,,,,,0.77,52,52
52,343,390,20,345,338,0,372,224_138_64,3_3_6,13,[5_21] (3_1),13,[5_21] (3_1),4858,[4115_5420],4863,[4115_5420],108,19,[10_20] (1_41),217,11.54,13.33,90,85
53,339,464,25,392,369,0,122,102_51_17,20_7_27,17,[2_26] (1_1),17,[7_26] (2_1),3310,[2505_4605],3294,[2505_4060],113,21,[0_25] (1_51),125,15.52,20.47,377,369
54,336,351,20,343,338,25,196,10_8_2,0_3_12,12,[6_41] (1_1),12,[6_20] (1_4),3385,[2345_4900],3381,[2345_3800],73,16,[0_20] (1_6),77,2.28,3.70,215,215
55,338,610,20,333,290,40,48,263_151_91,26_21_27,18,[7_27] (1_1),18,[12_27] (2_1),3450,[3100_4000],3450,[3100_4000],123,20,[7_25] (2_1),543,45.41,52.46,585,500
56,330,447,20,338,328,20,51,141_81_37,18_8_4,17,[11_27] (6_1),17,[11_24] (5_1),2353,[1875_3050],2345,[1875_2855],134,20,[1_20] (1_105),133,24.38,26.62,191,174
57,332,661,20,328,307,20,12,170_117_65,16_11_15,17,[8_26] (1_1),17,[8_23] (1_1),3764,[3350_4250],3765,[3400_4055],141,19,[0_25] (2_3),259,50.38,53.56,359,286
58,359,2131,20,280,188,45,23,85_88_104,52_37_80,18,[0_25] (1_2),19,[13_25] (1_2),3127,[2690_3785],3114,[2690_3765],132,20,[0_25] (1_5),181,86.86,91.18,1526,1160
59,275,319,25,282,278,0,75,159_105_50,5_1_5,19,[9_26] (1_2),19,[9_26] (1_1),3502,[2845_3950],3501,[2845_3900],130,25,[12_25] (1_35),160,11.60,12.85,78,73
60,309,3856,20,152,86,165,40,141_58_54,65_45_54,20,[13_30] (2_1),20,[13_29] (1_2),4029,[3310_5230],3976,[3310_4785],174,20,[0_35] (3_1),195,96.06,97.77,2253,1129
61,153,166,15,160,160,0,0,5_0_1,3_0_0,8,[4_15] (4_2),8,[4_15] (4_2),2638,[2150_3650],2638,[2150_3650],45,15,[15_15] (6_6),86,3.61,3.61,15,15
