Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
10-3,181,383,20,153,125,265,5,88_67_0,52_23_13,21,[11_50] (1_1),21,[15_50] (2_1),3298,[2805_4600],3285,[2805_4600],116,20,[16_25] (1_7),131,60.05,67.36,860,753
10-4,190,308,20,186,165,50,16,37_102_44,48_15_14,17,[1_30] (1_1),17,[11_30] (3_1),4231,[3500_5650],4209,[3500_5650],114,20,[20_20] (122_122),137,39.61,46.43,510,462
10-5,145,257,20,118,103,130,4,24_58_46,36_9_10,20,[14_30] (3_2),20,[14_30] (2_2),3387,[2950_4000],3382,[2950_4000],124,20,[20_25] (135_4),153,54.09,59.92,381,367
11-1,111,652,20,360,314,304,165,208_111_68,26_22_35,18,[7_26] (1_3),18,[8_26] (1_2),4205,[3825_4755],4204,[3825_4755],125,20,[7_28] (1_3),232,44.79,51.84,706,561
11-2,120,809,15,578,554,291,19,269_150_75,24_29_10,13,[7_23] (2_1),13,[7_23] (1_1),3433,[2555_5460],3422,[2555_5460],91,16,[0_18] (1_77),254,28.55,31.52,421,397
11-3,101,678,22,509,495,345,80,477_72_60,24_13_2,20,[12_29] (4_1),20,[12_29] (4_1),5162,[4725_5695],5163,[4725_5695],149,23,[0_27] (3_1),630,24.93,26.99,265,234
11-4,83,507,15,395,381,167,60,18_33_17,20_16_17,13,[6_27] (1_1),13,[8_24] (7_1),2885,[2650_3510],2880,[2650_3510],66,16,[0_18] (1_36),81,22.09,24.85,371,364
12-1,98,439,20,384,378,215,16,202_133_51,16_6_0,17,[10_32] (1_1),17,[10_32] (1_1),2534,[2150_3250],2533,[2150_3250],91,21,[12_28] (1_1),129,12.53,13.90,173,166
12-2,106,498,20,315,309,512,378,245_142_84,45_7_8,20,[3_63] (1_1),20,[12_37] (1_1),5297,[4365_7775],5287,[4365_6510],169,22,[20_28] (72_2),269,36.75,37.95,732,689
12-3,105,430,20,305,300,509,358,252_132_73,34_2_10,20,[2_34] (1_1),20,[11_34] (1_1),5292,[4515_6235],5292,[4515_6235],175,22,[17_28] (1_2),252,29.07,30.23,422,359
