Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1,1602,1750,15,1734,1734,0,0,0,0,2,[2_15] (1370_1),2,[2_15] (1370_1),1984,[1350_3955],1984,[1350_3955],24,15,[15_15] (16_16),112,0.91,0.91,0,0
2,1462,1804,15,1541,1540,0,7,0,1_0_1,6,[4_15] (517_9),6,[4_15] (517_9),2649,[2010_4375],2649,[2010_4375],46,13,[0_15] (22_218),64,14.58,14.63,13,13
3,1330,1540,18,1383,1383,0,5,0,0,6,[4_18] (637_4),6,[4_18] (637_4),2174,[1400_4400],2174,[1400_4400],38,17,[1_18] (1_150),70,10.19,10.19,13,0
4,1218,1358,20,1277,1274,0,76,2_0_1,5_0_3,5,[1_20] (1_3),5,[2_20] (50_3),2750,[1830_2985],2749,[1830_2955],38,18,[0_20] (4_69),84,5.96,6.19,79,49
5,1175,1394,15,1220,1218,0,42,4_4_3,1_0_2,8,[5_15] (66_7),8,[5_15] (65_7),2014,[1400_2150],2014,[1400_2150],45,14,[0_15] (5_151),64,12.48,12.63,59,21
6,1110,1277,20,1159,1158,0,5,12_8_5,1_0_1,10,[6_20] (100_8),10,[6_20] (100_8),2917,[2105_3110],2917,[2105_3110],55,19,[0_20] (3_105),87,9.24,9.32,26,13
7,1070,1193,17,1135,1135,0,23,13_6_2,0,5,[3_17] (134_2),5,[3_17] (134_2),2859,[2250_3150],2859,[2250_3150],42,15,[0_17] (3_51),79,4.86,4.86,0,0
8,1051,1140,15,1112,1109,0,14,2_0_0,83_0_3,5,[3_16] (313_1),5,[3_16] (313_1),2265,[1650_2605],2265,[1650_2605],50,13,[0_15] (2_24),93,2.46,2.72,489,439
9,1034,1488,12,1135,1132,5,1105,14_10_3,146_0_3,9,[5_15] (21_1),9,[5_15] (21_1),2132,[1550_2815],2132,[1550_2815],61,12,[0_17] (3_1),74,23.72,23.92,1039,763
10,984,1120,10,1043,1043,0,31,13_4_0,55_0_0,6,[3_12] (43_3),6,[3_12] (43_3),2630,[2285_3430],2630,[2285_3430],46,10,[0_10] (1_75),64,6.88,6.88,290,275
11,974,1091,15,1029,1028,0,231,6_2_0,27_0_1,9,[3_16] (22_3),9,[3_16] (22_3),3367,[2865_4475],3367,[2865_4475],60,15,[12_15] (1_61),82,5.68,5.77,168,143
12,963,1170,20,996,994,0,151,20_4_1,87_0_2,13,[6_22] (1_3),13,[6_22] (1_3),3840,[3155_5080],3839,[3155_5080],80,19,[0_20] (2_160),107,14.87,15.04,671,451
13,934,1087,15,967,966,0,339,6_4_0,50_0_1,9,[4_17] (17_2),9,[4_17] (17_2),2618,[1900_3225],2618,[1900_3225],60,15,[0_15] (1_113),79,11.04,11.13,343,258
14,917,1026,10,957,957,0,722,1_3_0,24_0_0,6,[4_11] (119_3),6,[4_11] (119_3),2229,[1950_2485],2229,[1950_2485],42,10,[1_10] (1_68),53,6.73,6.73,125,120
15,911,1360,20,921,918,0,70,10_4_6,71_0_3,16,[9_22] (2_2),16,[9_22] (2_2),2480,[2100_3850],2479,[2100_3850],80,20,[0_20] (5_426),87,32.28,32.50,534,379
16,871,974,15,920,920,0,28,4_2_0,13_0_0,8,[5_17] (51_1),8,[5_17] (51_1),2526,[1970_2810],2526,[1970_2810],54,14,[1_15] (1_48),77,5.54,5.54,85,65
17,854,1493,10,885,883,35,3,6_1_2,61_0_2,8,[5_19] (158_1),8,[5_19] (158_1),1854,[1450_2400],1854,[1450_2400],49,10,[0_15] (1_1),56,40.72,40.86,562,394
18,828,1108,10,862,856,20,55,2_0_0,42_1_6,8,[4_14] (3_1),8,[4_14] (3_1),2257,[1780_2665],2257,[1780_2665],51,10,[5_15] (1_3),61,22.20,22.74,399,301
19,817,1007,15,849,849,5,6,6_1_1,46_0_0,11,[7_18] (36_1),11,[7_18] (36_1),2564,[2150_2810],2564,[2150_2810],65,15,[1_20] (1_1),88,15.69,15.69,283,239
20,791,857,15,830,830,0,58,1641_6_12,14_0_0,7,[4_16] (67_1),7,[4_16] (67_1),2928,[2200_3210],2928,[2200_3210],79,14,[0_15] (1_25),121,3.15,3.15,80,70
21,810,1326,10,826,824,55,23,800_7_12,134_1_1,9,[6_18] (30_1),9,[6_18] (30_1),2257,[1950_3160],2258,[1950_3160],71,10,[5_15] (1_3),76,37.71,37.86,994,804
22,783,939,10,830,829,10,416,50_0_1,19_0_1,7,[5_13] (300_1),7,[5_13] (300_1),2743,[2400_3080],2743,[2400_3080],49,10,[6_10] (2_104),62,11.61,11.71,131,121
23,797,1373,15,810,804,40,133,775_7_23,104_4_3,13,[7_24] (6_1),13,[7_19] (6_1),4336,[3865_4965],4335,[3865_4750],103,15,[0_20] (2_2),112,41.01,41.44,861,653
24,788,1061,10,834,831,20,4,252_5_11,48_3_0,8,[4_12] (33_1),8,[4_12] (33_1),2291,[1850_2655],2291,[1850_2655],54,10,[1_10] (2_221),62,21.39,21.68,368,297
25,785,1188,23,821,814,20,32,1369_38_24,39_6_5,19,[11_29] (1_1),19,[11_29] (1_1),3411,[3080_3820],3412,[3080_3820],126,22,[0_28] (2_1),144,30.89,31.48,422,311
26,757,796,15,794,792,0,3,0_1_0,1_3_0,5,[3_13] (1_3),5,[4_13] (337_3),2502,[2000_2605],2502,[2000_2605],51,5,[0_10] (1_1),66,0.25,0.50,25,25
27,754,842,20,815,778,0,144,514_271_16,7_53_0,12,[7_20] (1_19),12,[8_20] (46_13),2979,[2550_3260],2984,[2550_3260],86,18,[1_20] (1_22),97,3.21,7.60,401,394
28,757,1008,15,785,751,0,17,185_115_4,9_36_4,9,[6_18] (190_1),9,[6_16] (190_2),4057,[3665_4300],4065,[3665_4300],73,15,[3_20] (1_3),99,22.12,25.50,1013,325
29,760,1014,10,790,732,25,8,463_235_6,6_64_2,8,[4_14] (2_1),8,[6_14] (50_1),2499,[2155_2885],2497,[2155_2775],63,10,[0_15] (2_1),66,22.09,27.81,621,533
30,759,1231,25,774,698,15,118,805_463_26,32_101_6,21,[10_30] (1_1),21,[12_30] (1_1),4851,[4255_5530],4854,[4255_5530],150,24,[0_30] (1_1),169,37.12,43.30,1455,922
31,736,796,15,776,774,5,25,0_1_0,0_2_1,10,[7_16] (1_1),10,[8_16] (189_1),1703,[1350_1905],1703,[1350_1905],40,14,[4_15] (1_17),61,2.51,2.76,30,30
32,733,865,15,771,759,40,108,260_125_9,6_11_1,9,[5_20] (80_1),9,[5_20] (80_1),2674,[2150_2955],2677,[2150_2955],63,15,[1_20] (1_7),92,10.87,12.25,343,187
33,729,943,25,757,717,105,94,682_356_21,20_42_5,21,[9_30] (1_1),21,[9_30] (1_1),4722,[3905_5300],4727,[3905_5300],117,25,[1_30] (1_5),146,19.72,23.97,790,616
