Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1,2284,3083,5,2322,2322,0,0,0,0,3,[3_5] (2120_66),3,[3_5] (2120_66),944,[750_950],944,[750_950],29,5,[1_5] (1_760),45,24.68,24.68,0,0
2,2007,2425,15,2102,2100,0,19,0,5_0_3,4,[3_15] (1648_9),4,[3_15] (1648_8),2478,[1355_2580],2478,[1355_2580],42,13,[0_15] (28_274),111,13.32,13.40,83,50
3,1862,2100,18,1988,1988,0,2,1_2_0,4_0_0,6,[4_18] (193_7),6,[4_18] (193_7),2188,[1300_2300],2188,[1300_2300],42,17,[2_23] (2_1),83,5.33,5.33,20,20
4,1775,2329,10,1838,1836,0,11,0_1_0,3_1_1,4,[3_10] (939_26),4,[3_10] (939_26),1828,[1125_1930],1828,[1125_1880],33,10,[0_10] (8_474),146,21.08,21.17,95,30
5,1687,1964,15,1783,1783,0,44,26_15_1,0,8,[4_15] (2_21),8,[4_15] (2_21),1960,[1380_2195],1960,[1380_2195],54,14,[0_15] (6_165),99,9.22,9.22,8,0
6,1646,2726,12,1652,1652,0,19,21_11_4,0,10,[6_12] (28_344),10,[6_12] (28_344),2002,[1700_2250],2002,[1700_2250],64,12,[0_12] (5_1052),66,39.40,39.40,23,0
7,1535,1647,17,1618,1618,0,16,21_10_3,0,5,[3_16] (182_3),5,[3_16] (182_3),2867,[2150_3150],2867,[2150_3150],47,16,[0_17] (2_26),85,1.76,1.76,15,0
8,1512,1670,10,1586,1584,0,10,5_7_0,179_0_2,5,[3_13] (419_2),5,[3_13] (419_2),1774,[1250_2205],1774,[1250_2205],50,10,[0_10] (3_81),75,5.03,5.15,1056,911
9,1485,1824,12,1546,1545,25,1512,24_6_2,218_1_0,9,[5_26] (31_1),9,[5_15] (31_1),2136,[1600_2765],2136,[1600_2765],63,12,[0_12] (1_269),102,15.24,15.30,1384,1134
10,1443,1620,10,1521,1521,0,28,27_10_1,96_0_0,6,[3_13] (89_1),6,[3_13] (89_1),2638,[2220_3060],2638,[2220_3060],48,10,[1_15] (1_1),82,6.11,6.11,515,480
11,1434,2246,10,1488,1483,40,45,6_8_2,176_1_4,8,[5_15] (151_1),8,[5_15] (150_1),2933,[2585_3710],2933,[2585_3710],68,10,[1_10] (1_747),82,33.75,33.97,1230,926
12,1413,2782,15,1385,1379,20,583,11_10_2,163_5_2,10,[4_19] (20_1),10,[4_18] (20_2),3792,[3035_4335],3793,[3035_4335],97,15,[0_25] (3_1),131,50.22,50.43,2129,864
13,1298,1465,15,1361,1359,5,612,13_3_0,45_1_3,9,[0_16] (1_5),9,[4_16] (33_4),2650,[1860_3350],2650,[1860_3225],61,14,[0_20] (6_1),76,7.10,7.24,281,256
14,1287,1434,10,1349,1346,15,1016,3_1_1,47_2_5,6,[0_12] (1_1),6,[4_12] (136_1),2232,[1850_2530],2231,[1850_2530],49,10,[1_10] (1_82),60,5.93,6.14,298,288
