Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1-1,798,3224,15,3003,3000,359,22,347_170_76,10_0_3,12,[9_27] (22_1),12,[9_27] (22_1),2781,[1650_3600],2782,[1650_3600],54,15,[0_23] (6_2),101,6.85,6.95,208,140
1-2,910,3671,20,3653,3652,49,136,1624_950_359,4_1_0,10,[3_26] (57_1),10,[3_26] (57_1),6203,[3880_7640],6204,[3880_7640],64,14,[0_23] (5_3),94,0.49,0.52,55,55
1-3,894,3387,15,3336,3331,78,450,1373_788_307,8_5_0,9,[4_18] (2_6),9,[6_18] (507_6),4243,[2750_5225],4243,[2750_5075],68,14,[0_23] (4_1),151,1.51,1.65,84,75
1-4,824,3219,15,3206,3203,18,28,31_89_34,0_2_1,9,[4_17] (1_4),9,[6_17] (111_4),3501,[2155_4450],3501,[2155_4055],44,9,[0_15] (4_7),125,0.40,0.50,22,22
1-5,820,3268,15,3252,3252,3,23,31_63_23,1_0_0,6,[3_18] (269_1),6,[3_18] (269_1),3937,[2005_4545],3937,[2005_4545],43,7,[0_18] (6_1),618,0.49,0.49,5,5
1-6,766,3077,15,3069,3069,0,84,6_16_5,4_0_0,3,[2_15] (1198_2),3,[2_15] (1198_2),4529,[2180_5100],4529,[2180_5100],39,4,[0_15] (2_2),166,0.26,0.26,20,20
1-7,769,3263,20,3182,3177,87,228,354_782_266,0_5_1,9,[7_23] (1168_10),9,[7_23] (1168_10),5059,[2750_5540],5060,[2750_5540],59,20,[0_23] (4_33),119,2.48,2.64,43,43
1-8,711,3238,20,2727,2718,14,236,2040_270_252,6_4_11,8,[4_23] (70_2),8,[4_23] (70_1),5095,[2905_6010],5096,[2905_6010],55,19,[0_23] (6_74),99,15.78,16.06,302,157
1-9,700,2505,15,2493,2493,21,16,1214_292_139,1_0_0,6,[2_17] (210_3),6,[2_17] (210_3),3751,[1955_4680],3751,[1955_4680],48,12,[0_18] (3_2),5172,0.48,0.48,5,5
1-10,669,2320,20,2231,2217,198,152,542_1225_437,11_13_6,14,[9_26] (5_1),14,[9_26] (5_1),3707,[2200_4750],3709,[2200_4750],86,19,[0_23] (5_22),190,3.84,4.44,227,219
2-1,824,3119,15,2721,2710,607,2,1489_878_354,24_8_3,13,[10_22] (274_1),13,[10_22] (274_1),2995,[2300_3700],2995,[2300_3700],82,16,[0_20] (1_1),119,12.76,13.11,308,245
2-2,998,3961,14,3893,3883,286,35,100_57_23,13_7_6,12,[2_17] (2_14),12,[8_17] (2_14),2221,[1700_4200],2220,[1700_3105],50,14,[9_17] (1_11),61,1.72,1.97,181,181
2-3,952,3909,15,3664,3648,240,45,967_596_246,22_15_4,8,[5_18] (413_24),8,[5_18] (413_23),3975,[2325_4910],3975,[2325_4795],60,16,[3_18] (1_77),92,6.27,6.68,251,244
2-4,871,3335,15,2872,2850,950,36,768_1550_545,25_20_3,12,[7_22] (50_1),12,[7_22] (50_1),3924,[2450_4955],3925,[2450_4955],76,16,[0_18] (1_133),94,13.88,14.54,445,378
2-5,865,3416,15,3105,3093,1119,634,809_1682_608,19_12_6,13,[8_21] (42_2),13,[8_21] (42_2),2462,[1550_3940],2463,[1550_3940],68,16,[0_23] (1_1),87,9.10,9.46,315,279
2-6,770,2818,20,2674,2656,446,221,839_1976_797,21_15_5,16,[8_23] (1_21),16,[9_23] (17_20),3603,[2400_5305],3602,[2400_5065],93,20,[1_23] (1_27),130,5.11,5.75,265,258
2-7,760,3207,20,1784,1749,82,252,1324_207_220,27_14_60,11,[0_32] (1_1),11,[4_26] (4_1),4903,[2965_6825],4899,[2965_6225],67,20,[0_28] (3_1),98,44.37,45.46,1270,821
2-8,750,2859,20,2373,2347,995,235,605_1389_571,23_20_9,16,[6_31] (1_1),16,[6_31] (1_1),2958,[1855_4920],2963,[1855_4920],89,21,[1_28] (1_1),117,17.00,17.91,528,471
