Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
29,911,1252,10,986,917,20,14,634_318_26,16_79_6,8,[5_13] (9_1),8,[5_13] (5_1),2761,[2210_3720],2761,[2210_3420],65,10,[0_10] (3_257),70,21.25,26.76,774,707
30,993,7059,18,721,423,500,149,1221_161_0,185_423_69,18,[11_30] (3_1),18,[11_29] (1_1),4722,[3955_6065],4657,[3955_6030],150,18,[0_28] (2_1),137,89.79,94.01,9441,5404
31,694,753,15,740,739,10,21,13_10_1,0_1_0,10,[7_17] (1_1),10,[8_17] (239_1),2532,[1400_3050],2531,[1400_2890],39,14,[2_20] (1_1),59,1.73,1.86,34,25
32,690,848,15,769,760,45,131,0_698_0,8_5_4,10,[5_20] (13_1),10,[5_20] (13_1),3500,[2105_4455],3500,[2105_4455],70,15,[10_20] (1_3),99,9.32,10.38,225,188
33,689,848,25,736,717,150,70,311_997_73,12_14_10,20,[0_42] (1_1),20,[10_42] (1_1),5500,[4250_9550],5498,[4250_7500],119,25,[3_30] (1_1),143,13.21,15.45,603,589
34,704,2081,16,693,566,475,57,816_178_38,101_123_27,15,[7_29] (1_1),15,[9_26] (1_1),3920,[3150_5505],3893,[3150_5005],122,16,[0_26] (2_1),115,66.70,72.80,3175,2488
35,674,706,15,703,703,0,11,30_21_1,0,6,[5_14] (379_1),6,[5_14] (379_1),4000,[2395_4180],4000,[2395_4180],42,7,[3_15] (2_1),70,0.42,0.42,0,0
36,689,1371,20,1171,1137,60,49,724_375_62,27_30_13,15,[5_26] (1_1),15,[10_26] (1_1),3903,[2530_6135],3895,[2530_4900],92,19,[0_25] (3_2),115,14.59,17.07,580,552
37,679,2207,15,719,657,315,5,335_202_36,86_59_17,14,[8_34] (1_1),14,[9_21] (5_1),3755,[2845_5065],3747,[2845_4945],103,15,[1_20] (2_16),97,67.42,70.23,2096,1632
38,665,1219,15,704,684,140,67,431_234_40,18_19_8,13,[4_22] (1_2),13,[8_22] (1_2),3573,[2555_5505],3572,[2555_5505],83,15,[0_20] (2_4),95,42.25,43.89,647,569
39,686,2592,18,645,577,285,144,598_175_70,77_59_21,17,[8_28] (1_1),17,[10_28] (2_1),3954,[3250_5530],3947,[3250_5055],122,18,[0_23] (1_10),119,75.12,77.74,1911,1519
40,626,657,25,653,650,0,4,157_88_10,5_2_2,6,[4_24] (247_1),6,[4_24] (247_1),6444,[2630_7005],6448,[2630_7005],59,20,[7_25] (1_3),146,0.61,1.07,54,54
41,626,738,20,663,652,5,111,459_238_49,14_8_9,10,[5_21] (12_1),10,[5_21] (12_1),4368,[2145_5800],4373,[2145_5800],94,20,[4_35] (1_1),149,10.16,11.65,319,208
42,667,3015,15,617,566,305,3,706_94_44,113_53_17,15,[9_32] (4_1),15,[9_32] (1_1),2261,[1750_4200],2234,[1750_4200],107,15,[0_25] (4_5),109,79.54,81.23,2391,1743
43,593,635,15,629,598,0,11,23_16_6,2_2_40,7,[0_15] (1_11),7,[3_15] (49_10),3937,[2200_5255],3926,[2200_4680],63,15,[15_15] (6_6),96,0.94,5.83,363,350
44,596,853,15,621,575,25,3,318_188_82,13_12_52,11,[2_19] (1_1),11,[6_19] (3_1),3137,[1920_4885],3133,[1920_4085],95,15,[0_25] (1_1),116,27.20,32.59,845,618
45,678,4182,18,589,216,525,98,921_121_0,122_84_556,17,[7_32] (1_1),18,[12_32] (1_1),4839,[4010_6675],4784,[4010_5985],150,18,[0_28] (3_1),135,85.92,94.84,9057,6909
46,570,635,20,634,633,0,11,318_197_84,4_0_1,7,[3_18] (1_1),7,[4_18] (49_1),5205,[3050_6065],5204,[3050_5905],57,2,[2_2] (1_1),22,0.16,0.31,28,28
47,578,791,17,759,746,20,154,351_215_84,26_7_19,12,[0_22] (1_1),12,[7_22] (2_1),3304,[1750_5750],3293,[1750_5225],75,17,[0_22] (1_1),93,4.05,5.69,386,370
48,583,815,17,600,564,110,6,315_200_81,30_6_31,15,[11_22] (8_1),15,[11_22] (7_1),2381,[1550_3310],2382,[1550_3310],78,17,[0_17] (2_209),87,26.38,30.80,674,639
49,577,1100,17,593,545,210,97,348_191_87,47_9_46,16,[10_28] (1_1),16,[11_23] (9_2),3724,[2425_5085],3717,[2425_4900],109,17,[14_22] (1_8),117,46.09,50.45,1259,1086
50,576,1293,17,577,479,255,6,392_94_108,55_27_85,16,[8_22] (2_2),16,[9_22] (1_2),3874,[3205_5315],3860,[3205_5055],108,17,[0_22] (1_2),101,55.38,62.95,1744,1607
51,553,579,15,579,579,0,0,0,0,3,[3_8] (374_1),3,[3_8] (374_1),5261,[4300_5440],5261,[4300_5440],35,,,,,,0,0
52,553,646,20,582,568,25,642,559_320_127,9_6_12,13,[5_30] (1_1),13,[5_30] (1_1),5983,[4350_7565],5991,[4350_7565],109,19,[0_20] (1_60),149,9.91,12.07,265,238
53,556,818,21,614,575,25,285,202_128_46,31_8_44,16,[3_26] (1_1),16,[7_25] (1_1),4225,[2300_6855],4232,[2300_6055],107,21,[0_26] (1_2),133,24.94,29.71,688,614
