Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1-1,641,2512,15,2337,2337,231,9,319_123_66,6_0_0,12,[9_19] (14_4),12,[9_19] (14_4),2777,[1650_3400],2777,[1650_3400],57,15,[0_18] (2_30),94,6.97,6.97,57,57
1-2,774,3073,20,3057,3055,18,96,1397_788_318,3_1_1,10,[3_23] (46_1),10,[3_23] (46_1),6214,[3805_7640],6214,[3805_7640],64,10,[0_23] (6_1),273,0.52,0.59,30,30
1-3,737,2994,15,2963,2961,66,489,1122_627_304,4_2_0,8,[5_18] (1_3),8,[6_18] (544_3),4322,[2815_5065],4322,[2815_4825],64,13,[0_18] (1_2),82,1.04,1.10,34,34
1-4,686,2612,15,2598,2595,18,22,24_41_10,0_2_1,9,[4_18] (1_3),9,[6_18] (102_3),3528,[2200_4450],3528,[2200_4055],43,8,[0_18] (4_1),66,0.54,0.65,22,22
1-5,640,2430,15,2419,2419,0,18,17_48_23,3_0_0,6,[3_15] (180_1),6,[3_15] (180_1),3935,[2035_4795],3935,[2035_4795],41,9,[0_20] (4_1),58,0.45,0.45,24,15
1-6,662,2572,15,2568,2568,0,55,4_7_2,1_0_0,3,[2_14] (1017_1),3,[2_14] (1017_1),4552,[2450_5100],4552,[2450_5100],40,4,[0_15] (1_1),105,0.16,0.16,5,5
1-7,604,2308,20,2266,2265,47,178,180_354_117,0_2_0,9,[7_26] (1177_1),9,[7_26] (1177_1),5187,[2750_5540],5188,[2750_5540],58,18,[0_23] (2_8),164,1.82,1.86,42,22
1-8,584,2283,20,1989,1983,0,142,1509_195_199,13_3_6,8,[4_20] (27_1),8,[4_20] (26_1),5109,[2750_5890],5110,[2750_5890],56,20,[0_28] (2_1),93,12.88,13.14,223,135
1-9,543,2055,15,2042,2039,6,11,978_273_102,3_3_1,6,[2_16] (182_2),6,[2_16] (182_2),3792,[1965_4680],3793,[1965_4680],48,9,[0_18] (4_1),197,0.63,0.78,43,43
1-10,554,1820,20,1728,1717,133,62,444_938_330,12_7_6,14,[9_26] (1_1),14,[9_26] (1_1),3762,[2400_4750],3765,[2400_4750],85,19,[0_23] (3_14),107,5.05,5.66,180,175
2-1,660,2597,15,2237,2217,513,0,1265_714_257,16_18_4,13,[6_23] (1_1),13,[10_23] (218_1),2970,[2300_4350],2970,[2300_3700],80,15,[1_23] (1_1),121,13.86,14.63,349,292
2-2,790,3066,14,3017,3012,206,63,60_32_14,3_3_3,12,[4_17] (1_5),12,[8_17] (9_5),2242,[1700_3805],2241,[1700_3030],51,14,[0_19] (1_1),149,1.60,1.76,84,70
2-3,776,2974,15,2800,2787,117,19,685_390_151,22_14_2,8,[5_19] (393_1),8,[5_18] (393_9),4052,[2325_4860],4051,[2325_4860],58,16,[1_18] (2_50),95,5.85,6.29,234,222
2-4,728,2908,15,2613,2593,703,36,642_1426_530,20_19_6,12,[6_22] (1_1),12,[7_22] (63_1),3941,[2500_5155],3942,[2500_5000],76,15,[0_20] (2_1),95,10.14,10.83,378,323
2-5,655,2569,15,2378,2362,594,473,602_1296_473,15_7_10,12,[7_23] (1_1),12,[8_23] (33_1),2490,[1500_3750],2490,[1500_3450],68,16,[12_18] (1_41),83,7.43,8.06,264,259
2-6,670,2172,20,2093,2081,292,162,654_1515_606,14_9_5,16,[9_25] (17_1),16,[9_25] (17_1),3689,[2650_5055],3688,[2650_5055],94,20,[0_23] (1_22),185,3.64,4.19,191,191
2-7,641,2734,20,1534,1517,18,222,1199_143_168,21_15_21,10,[4_24] (3_1),10,[4_23] (3_2),4949,[2975_6125],4949,[2975_6125],65,20,[5_30] (2_1),93,43.89,44.51,689,378
2-8,624,2278,20,1976,1951,585,114,513_1139_449,13_20_12,16,[5_30] (1_1),16,[7_30] (3_1),3062,[1950_5295],3066,[1950_4730],84,21,[0_33] (1_1),110,13.26,14.35,490,391
2-9,605,2153,15,2150,2150,0,756,470_1080_387,1_0_0,6,[4_14] (533_1),6,[4_14] (533_1),5505,[3760_5895],5505,[3760_5895],48,6,[0_15] (1_1),349,0.14,0.14,5,5
3-1,703,2281,20,2280,2280,0,0,0,3_0_0,7,[6_13] (295_2),7,[6_13] (295_2),4307,[3200_4650],4307,[3200_4650],41,2,[2_2] (1_1),10,0.04,0.04,15,15
3-2,840,2885,15,2557,2524,1025,258,1410_709_314,20_25_16,13,[6_24] (1_1),13,[8_24] (8_1),2483,[1700_3750],2484,[1700_3550],60,16,[0_18] (1_131),82,11.37,12.51,521,478
3-3,768,2644,14,2227,2192,1130,502,1191_736_299,37_27_15,12,[7_21] (3_1),12,[7_21] (3_1),3616,[2900_4560],3617,[2900_4560],80,15,[0_22] (1_4),97,15.77,17.10,624,556
3-4,706,2513,20,1815,1776,1202,445,1654_0_0,36_21_25,18,[9_28] (6_1),18,[9_26] (5_1),3791,[2710_5500],3790,[2710_5500],102,21,[5_28] (1_2),137,27.78,29.33,708,626
3-5,695,2704,20,1414,1326,473,73,390_805_385,16_50_55,14,[6_28] (11_1),14,[6_26] (11_1),3444,[1650_4905],3476,[1650_4905],96,21,[2_28] (1_2),134,47.71,50.96,1307,943
3-6,660,2549,20,825,743,1383,74,409_408_0,109_66_52,21,[7_30] (1_1),21,[12_28] (1_1),4782,[3205_7610],4728,[3205_6405],115,22,[4_33] (1_2),117,67.63,70.85,2065,1667
3-7,653,2471,25,454,391,1035,172,404_193_267,58_61_42,26,[18_43] (1_1),26,[19_43] (3_1),4677,[3925_6995],4667,[3925_6995],149,27,[5_53] (1_1),187,81.63,84.18,2257,1771
3-8,626,1919,15,1687,1657,850,153,393_967_312,23_26_6,13,[7_20] (9_2),13,[7_20] (9_2),2710,[1800_3805],2711,[1800_3805],71,16,[13_18] (2_103),98,12.09,13.65,399,389
4-1,542,1328,15,1070,1041,751,64,563_315_143,54_23_12,13,[5_22] (1_1),13,[6_22] (1_1),3801,[2930_5315],3806,[2930_5105],90,17,[13_23] (1_1),114,19.43,21.61,637,597
4-2,586,1586,15,1234,1194,1839,7,946_251_0,34_28_17,16,[12_20] (7_2),16,[12_20] (7_2),2604,[1550_3660],2601,[1550_3555],81,16,[14_18] (2_156),99,22.19,24.72,667,635
4-3,598,1606,12,803,706,2165,2978,670_134_0,100_88_46,14,[8_21] (3_1),14,[10_21] (2_1),3414,[2950_4355],3414,[2950_4355],101,14,[0_20] (1_2),101,50.00,56.04,1943,1848
4-4,594,1711,10,822,765,1941,11,566_87_0,106_43_26,12,[6_23] (1_1),12,[7_23] (4_1),2240,[1500_3410],2234,[1500_3410],77,12,[9_20] (2_1),88,51.96,55.29,1614,1430
4-5,540,1492,18,979,935,752,142,260_574_303,41_34_19,17,[8_24] (3_5),17,[8_24] (3_4),5123,[4400_7550],5126,[4400_6800],114,20,[8_26] (1_1),139,34.38,37.33,802,709
4-6,515,1386,13,924,905,1114,31,529_116_111,38_12_10,13,[9_21] (6_1),13,[9_21] (6_1),2875,[2155_3910],2871,[2155_3910],87,15,[9_21] (2_1),91,33.33,34.70,547,481
4-7,508,1157,20,1052,1032,415,36,1047_0_0,28_14_6,18,[13_25] (1_1),18,[13_25] (1_1),3481,[2850_4505],3482,[2850_4505],111,21,[20_23] (64_41),137,9.08,10.80,336,331
4-8,462,1231,25,679,638,598,103,648_232_234,48_28_34,23,[8_36] (1_1),23,[9_36] (1_1),3929,[2650_7105],3907,[2650_6600],145,27,[17_28] (1_297),152,44.84,48.17,869,791
4-9,461,1212,15,863,830,1392,93,717_145_0,27_28_12,16,[10_22] (1_1),16,[10_22] (1_1),3629,[3300_4665],3626,[3300_4665],103,17,[14_18] (1_190),114,28.80,31.52,566,541
5-1,410,868,20,214,130,255,6,68_57_77,8_53_50,20,[0_32] (2_1),21,[17_32] (6_1),3474,[3050_7100],3364,[3050_4450],96,20,[0_30] (2_2),118,75.35,85.02,1500,1310
5-2,511,1002,15,352,330,185,73,198_75_0,45_7_29,14,[9_23] (3_1),14,[9_23] (2_1),3118,[2005_4315],3086,[2005_4260],95,15,[1_25] (1_1),101,64.87,67.07,1184,875
5-3,512,919,20,369,329,320,15,134_154_79,77_32_16,20,[16_27] (1_1),20,[17_27] (7_1),4089,[3575_5355],4081,[3575_5355],95,20,[11_25] (1_1),93,59.85,64.20,1395,1321
5-4,470,1116,20,141,81,360,58,141_0_0,47_38_47,21,[11_29] (1_1),23,[20_29] (7_1),4077,[3600_5430],4124,[3600_4910],123,20,[6_25] (1_9),113,87.37,92.74,1756,1568
5-5,423,761,20,378,349,170,10,97_185_86,21_14_28,18,[7_28] (1_1),18,[13_28] (3_1),3496,[2900_5650],3477,[2900_4400],112,20,[8_25] (1_5),125,50.33,54.14,835,750
5-6,410,833,15,242,164,335,9,156_59_0,22_56_32,15,[8_24] (1_1),16,[10_24] (1_1),2848,[2400_3880],2837,[2400_3875],90,15,[10_20] (1_3),84,70.95,80.31,1501,1436
5-7,380,828,25,84,40,165,2,85_0_0,36_39_52,25,[0_45] (3_1),27,[23_40] (2_1),5640,[4660_10410],5391,[4660_6360],165,25,[12_35] (1_2),136,89.86,95.17,1717,1290
5-8,398,882,19,113,80,370,8,105_15_13,42_32_28,21,[10_33] (1_1),21,[16_33] (1_1),2762,[2050_4050],2718,[2050_3590],108,19,[17_29] (1_1),86,87.19,90.93,1641,1471
5-9,384,822,15,183,175,375,23,76_93_0,52_2_9,16,[11_26] (1_1),16,[11_26] (1_1),3274,[2650_4600],3266,[2650_4600],83,15,[7_20] (1_6),78,77.74,78.71,1166,1072
6-1,165,790,20,758,754,127,68,413_230_115,6_0_5,15,[6_25] (1_1),15,[9_23] (6_12),3267,[2055_5055],3265,[2055_4415],77,20,[1_23] (1_13),147,4.05,4.56,94,89
6-2,220,910,17,852,848,77,106,70_40_22,5_3_1,12,[9_21] (2_3),12,[10_21] (86_3),3014,[1845_3600],3014,[1845_3450],54,16,[0_25] (1_2),85,6.37,6.81,96,63
6-3,204,875,20,873,871,21,28,467_273_121,2_1_3,14,[8_23] (1_3),14,[8_23] (1_3),4285,[3000_5470],4285,[3000_5470],69,10,[20_20] (1_1),37,0.23,0.46,41,41
6-4,176,784,20,778,775,24,41,194_425_159,6_3_1,13,[7_22] (3_1),13,[7_22] (3_1),4590,[2850_5745],4593,[2860_5745],84,20,[10_23] (1_3),136,0.77,1.15,64,59
6-5,180,717,20,713,706,12,39,132_290_106,2_7_3,12,[1_23] (1_2),12,[8_23] (22_2),4131,[2550_6400],4128,[2550_5005],67,22,[20_23] (2_2),115,0.56,1.53,81,81
6-6,186,637,15,633,631,17,40,143_338_118,4_1_1,9,[5_20] (4_1),9,[5_20] (4_1),3779,[2555_4670],3780,[2555_4670],66,5,[0_18] (1_1),5465,0.63,0.94,44,44
6-7,163,657,20,656,656,0,12,71_153_45,0,10,[7_16] (37_1),10,[7_16] (37_1),4677,[3410_5380],4677,[3410_5380],60,0,[0_0] (1_1),1,0.15,0.15,0,0
6-8,151,700,20,700,700,0,5,98_207_58,6_0_0,9,[3_18] (12_1),9,[3_18] (12_1),4504,[2605_5650],4504,[2605_5650],57,,,,,,30,30
6-9,137,497,20,491,488,73,29,362_346_427,4_1_2,18,[14_25] (7_1),18,[14_25] (7_1),4829,[3650_5750],4830,[3650_5750],178,14,[0_23] (1_1),174,1.21,1.81,61,61
6-10,144,509,20,502,501,6,33,127_318_94,2_0_1,13,[8_22] (1_1),13,[8_22] (1_1),4554,[3065_5425],4554,[3065_5425],83,10,[0_20] (3_3),191,1.38,1.57,18,18
6-11,135,595,18,585,584,62,27,147_319_119,5_0_1,14,[10_22] (20_3),14,[10_22] (20_3),2959,[2000_3650],2960,[2000_3650],73,20,[18_21] (5_5),104,1.68,1.85,42,42
7-1,242,972,18,818,808,422,40,592_101_96,67_8_7,15,[9_30] (5_1),15,[9_30] (5_1),3767,[2450_4950],3769,[2450_4950],94,20,[1_31] (1_2),124,15.84,16.87,655,547
7-2,270,1227,15,614,576,824,145,432_68_92,46_17_38,15,[2_26] (2_1),15,[8_26] (1_1),2693,[2105_5405],2667,[2105_3900],109,17,[0_28] (1_1),148,49.96,53.06,1006,859
7-3,277,1135,15,1051,1039,554,54,537_99_91,33_8_4,13,[9_24] (7_1),13,[9_24] (7_1),2601,[1950_3350],2602,[1950_3350],72,16,[1_18] (1_24),95,7.40,8.46,289,289
7-4,258,1274,18,771,737,766,174,173_370_176,81_14_29,17,[0_31] (1_1),17,[12_27] (2_1),4015,[2600_7350],4004,[2600_5240],87,20,[6_26] (1_3),94,39.48,42.15,1219,1117
7-5,247,1024,20,154,94,836,18,0_57_116,24_37_64,24,[17_49] (1_1),25,[22_40] (29_1),3836,[3225_5190],3797,[3240_5090],141,22,[13_33] (1_2),118,84.96,90.82,2644,2229
7-6,212,861,20,608,594,935,2,286_336_0,126_15_21,21,[15_38] (6_1),21,[15_37] (6_1),2598,[1950_4100],2585,[1950_4100],96,22,[0_28] (1_1),109,29.38,31.01,1282,1202
7-7,192,828,12,581,553,1081,641,485_95_0,41_23_14,13,[8_17] (5_5),13,[8_17] (4_3),2755,[2215_3750],2750,[2215_3750],87,14,[9_15] (1_127),94,29.83,33.21,605,549
8-1,204,642,20,267,227,472,30,196_123_64,62_39_26,21,[15_29] (2_1),21,[16_26] (6_1),4167,[3400_5550],4108,[3400_5360],161,22,[19_28] (1_1),163,58.41,64.64,1048,947
8-2,254,814,15,571,538,847,259,417_64_77,61_20_30,15,[2_29] (1_1),15,[9_29] (4_1),3279,[2650_6030],3256,[2650_4580],92,17,[12_18] (1_140),103,29.85,33.91,1032,1019
8-3,227,580,20,578,574,12,496,189_122_49,0_2_4,10,[3_23] (46_1),10,[3_23] (46_1),6989,[4650_8230],6999,[4650_8230],67,22,[20_23] (1_1),80,0.34,1.03,47,47
8-4,214,668,18,529,513,399,37,429_53_45,31_7_13,17,[9_27] (2_2),17,[9_27] (2_1),3407,[2505_4660],3409,[2505_4660],91,20,[0_26] (1_1),124,20.81,23.20,434,410
8-5,180,554,20,386,357,53,4,164_80_105,7_13_28,12,[7_23] (9_3),12,[7_23] (6_3),4867,[3100_5800],4877,[3100_5800],86,19,[7_28] (1_1),121,30.32,35.56,428,358
8-6,186,574,20,394,376,436,42,497_171_98,59_12_11,19,[13_28] (3_3),19,[13_28] (3_2),4386,[3800_5350],4382,[3800_5350],132,22,[20_33] (54_1),150,31.36,34.49,706,601
8-7,154,632,12,221,189,596,330,230_41_0,41_23_24,14,[4_26] (1_1),14,[7_26] (1_1),4660,[3880_5890],4629,[3880_5495],98,14,[12_20] (126_4),98,65.03,70.09,996,852
9-1,181,423,12,269,238,594,130,138_35_43,64_19_19,13,[5_27] (1_1),13,[9_22] (3_1),3261,[2670_4810],3230,[2670_4255],103,14,[12_15] (46_107),96,36.41,43.74,950,940
9-2,187,416,15,301,264,567,24,222_39_39,42_25_26,16,[0_25] (1_1),16,[9_24] (2_1),3155,[2655_5850],3142,[2655_4255],105,17,[15_23] (38_1),117,27.64,36.54,876,842
9-3,171,378,13,262,237,397,7,8_2_1,32_15_22,13,[4_26] (1_1),13,[10_26] (24_1),2571,[2055_3650],2557,[2055_3555],89,15,[11_16] (1_71),116,30.69,37.30,613,591
9-4,191,449,20,241,225,528,181,217_26_0,54_5_16,21,[15_47] (13_1),21,[15_47] (13_1),5623,[4150_7475],5607,[4150_7475],152,22,[14_35] (1_1),161,46.33,49.89,1199,999
9-5,165,400,20,192,142,581,11,260_61_61,57_44_29,22,[16_31] (1_2),23,[18_31] (1_2),3913,[3450_4850],3916,[3450_4850],132,22,[0_28] (2_4),149,52.00,64.50,1239,1151
9-6,173,422,22,271,257,581,1,199_25_42,62_1_25,23,[3_33] (1_1),23,[18_33] (3_1),4915,[4100_8600],4863,[4100_6605],141,24,[19_25] (1_112),151,35.78,39.10,745,725
9-7,151,356,10,186,159,506,60,85_64_37,65_18_17,12,[7_20] (1_1),12,[8_20] (1_1),2600,[2150_3490],2590,[2150_3490],97,12,[10_18] (45_3),93,47.75,55.34,874,807
10-1,103,172,16,43,24,195,7,41_3_0,31_17_10,20,[13_28] (1_1),21,[16_28] (1_1),4938,[4350_6050],4899,[4350_5355],130,16,[12_26] (1_1),113,75.00,86.05,861,776
10-2,135,267,20,56,12,220,11,55_10_0,49_53_41,23,[11_34] (2_1),28,[21_34] (2_1),4465,[3870_6300],4628,[3945_5410],193,20,[18_40] (1_1),141,79.03,95.51,1849,1512
10-3,112,186,20,85,61,180,2,90_1_0,26_25_11,21,[12_35] (1_1),21,[15_35] (2_1),3725,[2800_5150],3673,[2800_4600],121,20,[20_25] (98_3),122,54.30,67.20,955,881
10-4,118,178,14,67,50,175,3,38_11_8,32_12_22,15,[8_27] (1_1),15,[8_27] (1_1),4538,[3200_7055],4387,[3200_7055],117,14,[14_24] (106_1),110,62.36,71.91,963,889
10-5,105,192,14,50,16,210,1,48_5_0,61_37_42,18,[11_28] (2_1),20,[15_28] (1_1),3675,[2800_4555],3673,[2800_4350],154,14,[14_19] (141_1),100,73.96,91.67,1440,1411
10-6,110,189,15,74,49,170,8,53_5_0,46_31_18,16,[10_34] (1_1),17,[14_23] (3_1),2982,[2200_4200],2908,[2200_3850],128,15,[15_15] (115_115),107,60.85,74.07,986,964
10-7,100,184,20,43,21,170,0,39_0_0,37_30_53,23,[6_35] (1_1),23,[20_33] (8_1),5483,[4460_7825],5157,[4460_6375],170,20,[20_30] (136_1),120,76.63,88.59,1397,1302
10-8,107,139,25,100,73,65,14,86_25_34,17_21_34,22,[0_38] (1_1),22,[13_30] (1_2),4224,[2900_8450],4075,[2900_5815],165,25,[24_30] (1_3),184,28.06,47.48,691,654
10-9,89,140,15,68,44,185,2,58_7_0,25_19_14,17,[13_27] (5_1),17,[13_25] (1_1),3740,[3300_4700],3692,[3300_4655],134,15,[15_25] (70_1),198,51.43,68.57,858,791
11-1,50,133,20,131,130,11,38,79_27_24,1_0_1,14,[7_23] (1_1),14,[7_23] (1_1),5214,[3975_6615],5214,[3975_6615],84,20,[20_20] (2_2),122,1.50,2.26,22,22
11-2,70,348,20,335,316,21,4,118_70_32,7_10_15,12,[4_23] (1_1),12,[7_23] (5_1),5360,[4010_6655],5349,[4050_6250],72,18,[7_23] (1_1),92,3.74,9.20,256,224
11-3,52,133,22,113,94,81,22,93_20_19,24_23_8,21,[13_31] (1_1),21,[14_31] (1_1),5541,[4755_6860],5513,[4755_6710],125,22,[7_25] (1_7),117,15.04,29.32,379,379
11-4,64,221,20,214,200,49,35,19_37_15,11_10_14,13,[7_26] (1_1),13,[7_23] (1_3),4420,[2900_5550],4469,[2900_5550],70,21,[20_23] (4_3),110,3.17,9.50,261,256
11-5,60,195,20,194,190,12,3,47_111_36,4_3_1,14,[8_21] (3_4),14,[8_21] (3_3),4777,[3255_5950],4782,[3255_5900],88,20,[20_20] (1_1),116,0.51,2.56,49,49
11-6,48,168,20,167,163,0,16,22_62_18,6_1_7,10,[0_17] (1_2),10,[7_17] (10_2),4288,[2900_6355],4271,[2900_5160],74,1,[1_1] (1_1),12,0.60,2.98,95,95
