Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1-1,529,1568,15,1411,1410,243,5,633_407_197,7_0_1,13,[10_19] (97_1),13,[10_19] (97_1),2318,[1850_2580],2318,[1850_2580],76,15,[0_18] (6_25),85,10.01,10.08,55,43
1-2,624,2160,20,1593,1571,712,280,741_472_200,27_15_10,17,[9_26] (8_1),17,[9_26] (8_1),3844,[3215_4380],3844,[3215_4380],137,21,[0_28] (2_1),176,26.25,27.27,429,320
1-3,619,1848,15,1806,1804,36,247,897_611_211,5_2_0,8,[5_18] (109_2),8,[5_18] (109_2),3298,[2800_3545],3298,[2800_3545],84,13,[0_18] (5_5),129,2.27,2.38,39,39
1-4,713,2039,15,2031,2027,12,32,101_201_75,2_2_4,9,[1_17] (1_2),9,[6_17] (64_2),2558,[2155_3050],2557,[2155_2705],49,12,[0_18] (1_1),64,0.39,0.59,57,57
1-5,610,2091,15,1746,1727,34,15,114_212_89,6_14_8,5,[4_22] (828_1),5,[4_22] (828_1),2285,[1705_2545],2288,[1705_2545],40,16,[0_20] (1_2),86,16.50,17.41,259,192
2-1,513,1410,15,1230,1222,231,1,637_407_186,10_5_4,13,[10_25] (110_1),13,[10_25] (110_1),2622,[2300_3050],2622,[2300_2750],90,15,[0_18] (1_45),452,12.77,13.33,135,125
2-2,615,1597,10,1542,1539,246,13,6_4_1,4_6_0,8,[6_13] (76_12),8,[6_13] (76_12),1722,[1510_2060],1722,[1510_2060],57,10,[0_13] (1_5),171,3.44,3.63,60,60
2-3,612,1655,10,1420,1406,305,17,537_350_156,15_12_7,7,[5_13] (201_26),7,[5_13] (200_25),2438,[2075_3360],2436,[2075_3360],57,11,[0_13] (1_88),113,14.20,15.05,221,214
2-4,612,2006,15,1156,1113,1327,99,275_580_311,36_34_22,15,[0_23] (1_3),15,[9_23] (11_3),3256,[2500_4000],3255,[2500_3940],96,16,[9_23] (1_2),164,42.37,44.52,711,593
2-5,628,1744,15,1561,1542,656,282,446_876_289,13_17_3,13,[8_20] (16_2),13,[8_20] (16_2),2026,[1550_2600],2027,[1550_2600],115,16,[0_23] (1_1),157,10.49,11.58,227,207
3-1,506,1028,20,1026,1026,0,0,0,0,7,[6_16] (124_1),7,[6_16] (124_1),2339,[1900_2500],2339,[1900_2500],49,2,[1_3] (1_1),24,0.19,0.19,0,0
3-2,566,1282,15,1099,1078,444,91,551_375_158,8_19_5,13,[8_22] (3_1),13,[8_22] (3_1),2081,[1750_2550],2081,[1750_2550],70,16,[14_18] (1_64),141,14.27,15.91,238,210
3-3,538,1212,20,1131,1122,78,991,488_349_132,12_6_3,13,[7_24] (3_1),13,[7_24] (2_1),3852,[3300_4250],3853,[3300_4150],91,20,[0_28] (1_1),146,6.68,7.43,164,126
3-4,572,1482,20,996,957,695,198,1059_0_0,51_24_30,18,[0_27] (2_1),18,[9_27] (2_1),3288,[2705_4055],3288,[2705_3705],114,21,[0_25] (1_1),328,32.79,35.43,802,663
3-5,612,1708,20,956,881,267,35,290_668_390,27_53_39,15,[5_28] (10_1),15,[5_23] (10_16),2332,[1750_2850],2337,[1750_2850],150,21,[3_35] (1_1),188,44.03,48.42,1112,811
4-1,443,931,15,782,768,472,46,391_255_144,37_10_7,13,[6_23] (2_1),13,[6_23] (2_1),3333,[2905_3700],3334,[2905_3700],88,17,[10_18] (1_83),404,16.00,17.51,316,311
4-2,517,1005,20,1005,1005,0,12,499_351_144,1_0_0,12,[7_20] (7_2),12,[7_20] (7_2),2640,[2150_2855],2640,[2150_2855],58,,,,,,5,5
4-3,518,925,20,897,890,96,2976,220_172_57,1_3_4,16,[11_23] (5_6),16,[11_23] (5_6),3657,[3150_4010],3658,[3150_4010],122,21,[20_23] (16_12),147,3.03,3.78,58,58
4-4,538,1028,15,1020,1014,51,804,668_333_0,8_5_2,11,[7_18] (69_4),11,[7_18] (68_4),2578,[1915_3130],2578,[1915_3130],66,16,[15_18] (5_3),103,0.78,1.36,91,91
