Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1-1,414,1308,15,1209,1207,153,7,136_61_28,4_0_2,12,[9_18] (4_10),12,[9_18] (4_10),2346,[1800_2650],2346,[1800_2650],98,15,[0_18] (1_17),99,7.57,7.72,43,36
1-2,510,1687,20,1275,1261,484,228,540_291_119,22_12_4,17,[9_28] (3_1),17,[9_28] (3_1),3847,[3110_4355],3848,[3110_4355],131,21,[17_23] (1_103),133,24.42,25.25,287,225
1-3,527,1526,15,1506,1505,21,241,588_294_117,3_1_0,8,[6_18] (254_2),8,[6_18] (254_2),3309,[2755_3525],3309,[2755_3525],79,14,[0_18] (1_6),833,1.31,1.38,27,22
1-4,522,1528,15,1519,1518,12,19,15_35_9,3_2_0,9,[6_17] (66_2),9,[6_17] (66_2),2571,[2200_2705],2571,[2200_2705],46,11,[0_15] (1_6),89,0.59,0.65,28,28
1-5,515,1515,15,1512,1512,0,6,15_21_6,3_0_0,6,[3_15] (113_2),6,[3_15] (113_2),2485,[1650_2745],2485,[1650_2745],82,10,[0_15] (1_2),81,0.20,0.20,15,15
2-1,430,1103,15,960,953,208,0,527_312_121,8_3_4,13,[10_23] (84_1),13,[10_23] (84_1),2622,[2350_3000],2623,[2350_3000],98,16,[12_18] (2_47),226,12.96,13.60,105,92
2-2,503,1308,10,1245,1242,227,18,1_0_0,4_4_0,8,[6_13] (63_8),8,[6_13] (63_8),1721,[1515_2165],1721,[1515_2165],58,10,[0_13] (1_9),72,4.82,5.05,47,47
2-3,494,1326,10,1131,1118,257,5,233_127_54,8_16_5,7,[3_14] (1_1),7,[5_14] (192_1),2447,[2060_3670],2443,[2060_3395],65,11,[7_13] (1_70),106,14.71,15.69,233,189
2-4,517,1801,15,1063,1021,1259,95,241_565_254,28_38_12,15,[9_22] (2_2),15,[9_22] (2_1),3240,[2400_4005],3240,[2400_3850],122,16,[1_23] (1_1),305,40.98,43.31,549,502
2-5,486,1342,15,1213,1201,405,219,333_665_211,18_9_5,13,[8_18] (22_18),13,[8_18] (22_18),2032,[1600_2400],2032,[1600_2400],71,16,[14_18] (1_33),124,9.61,10.51,205,193
3-1,384,816,20,815,814,0,0,0,2_0_1,7,[6_18] (126_1),7,[6_18] (126_1),2344,[1550_2500],2344,[1550_2500],59,3,[3_3] (1_1),60,0.12,0.25,18,18
3-2,500,1127,15,1009,996,414,96,539_298_127,9_14_2,13,[8_25] (7_1),13,[8_25] (6_1),2088,[1755_2705],2087,[1755_2705],72,16,[15_18] (66_52),236,10.47,11.62,191,165
3-3,450,954,20,881,875,93,760,498_260_101,4_5_2,13,[7_23] (3_7),13,[7_23] (3_7),3841,[3315_4210],3843,[3315_4210],94,21,[12_23] (2_25),186,7.65,8.28,131,70
3-4,476,1239,20,834,818,570,213,767_0_0,19_8_9,18,[8_26] (2_2),18,[8_26] (2_1),3282,[2710_3800],3283,[2710_3800],132,21,[0_23] (1_180),201,32.69,33.98,268,223
3-5,454,1333,20,686,628,282,46,200_391_181,9_43_20,15,[4_24] (1_3),15,[6_24] (3_2),2360,[1650_2900],2365,[1650_2805],119,21,[7_33] (1_2),200,48.54,52.89,716,504
4-1,369,744,15,612,602,371,42,337_157_90,31_6_4,13,[6_21] (1_2),13,[6_21] (1_2),3343,[2855_3705],3342,[2855_3705],105,17,[14_18] (1_77),416,17.74,19.09,253,228
4-2,420,800,20,800,798,3,6,285_152_47,1_1_3,12,[2_22] (1_1),12,[8_22] (5_1),2659,[2260_3160],2658,[2260_2855],105,,,,,0.25,37,37
4-3,419,831,20,808,807,105,2704,479_262_98,2_1_0,16,[11_23] (4_6),16,[11_23] (4_6),3652,[3050_4060],3652,[3050_4060],125,20,[3_23] (1_8),1308,2.77,2.89,22,17
4-4,433,816,15,800,798,72,634,544_233_0,1_1_1,11,[6_18] (1_6),11,[7_18] (49_6),2578,[1870_2830],2578,[1870_2830],94,15,[15_18] (14_2),95,1.96,2.21,20,20
