Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1-1,834,2879,15,2681,2678,360,25,344_151_83,13_1_2,12,[9_20] (11_1),12,[9_20] (10_1),2348,[1890_2680],2348,[1890_2680],55,15,[0_18] (4_53),81,6.88,6.98,163,115
1-2,952,3745,20,3712,3707,29,166,1722_997_362,9_3_3,11,[4_23] (11_2),11,[4_23] (11_2),4528,[3715_5005],4528,[3715_5005],67,16,[0_23] (6_3),97,0.88,1.01,100,100
1-3,927,3364,15,3308,3303,87,541,1291_713_301,8_6_1,9,[2_18] (1_3),9,[6_18] (526_3),3295,[2800_3680],3295,[2800_3575],66,14,[0_18] (3_15),92,1.66,1.81,93,88
1-4,858,3211,15,3194,3193,18,38,24_50_14,2_0_1,9,[6_18] (114_2),9,[6_18] (114_2),2570,[2150_2705],2570,[2150_2705],43,12,[0_18] (3_3),62,0.53,0.56,18,18
1-5,819,2885,15,2873,2871,0,16,35_73_19,1_2_0,6,[2_15] (1_1),6,[3_15] (232_1),2475,[1805_4080],2475,[1805_4080],41,6,[0_15] (4_3),89,0.42,0.49,19,19
1-6,802,2755,15,2746,2745,6,72,3_13_6,2_1_0,3,[2_16] (1027_2),3,[2_16] (1027_2),2784,[2160_2930],2784,[2160_2930],39,9,[1_18] (2_1),149,0.33,0.36,17,17
2-1,801,2737,15,2384,2372,517,2,1350_724_310,15_9_5,13,[7_20] (1_2),13,[10_20] (235_2),2626,[2250_3090],2626,[2250_3090],80,16,[5_20] (1_2),138,12.90,13.34,277,196
2-2,946,3515,10,3374,3372,738,36,1_0_0,10_5_0,8,[2_13] (1_26),8,[6_13] (214_26),1722,[1500_2095],1722,[1500_2095],42,10,[8_13] (1_16),49,4.01,4.07,111,111
2-3,874,3024,15,2832,2825,180,35,732_366_157,23_8_4,8,[4_23] (1_1),8,[5_23] (396_1),2937,[2310_4420],2936,[2310_4420],59,16,[9_18] (1_61),97,6.35,6.58,254,228
2-4,838,3594,15,2139,2084,2608,196,522_1087_524,86_40_26,15,[9_30] (5_1),15,[9_30] (3_1),3264,[2450_3930],3265,[2450_3930],88,16,[12_23] (1_1),99,40.48,42.01,1265,1126
2-5,799,2809,15,2557,2544,896,537,665_1393_491,20_14_2,13,[8_23] (38_1),13,[8_23] (38_1),2039,[1550_2455],2039,[1550_2455],70,16,[1_23] (3_1),95,8.97,9.43,303,274
2-6,760,2431,20,2312,2303,459,131,746_1687_724,38_12_1,16,[8_25] (1_1),16,[9_25] (14_1),3034,[2500_3615],3034,[2500_3355],94,20,[5_23] (1_32),123,4.90,5.27,289,279
3-1,897,2756,20,2755,2754,0,1,0,5_0_1,7,[3_17] (1_2),7,[6_17] (363_2),2340,[1650_2500],2340,[1650_2500],39,20,[20_20] (1_1),110,0.04,0.07,33,33
3-2,976,3165,15,2834,2796,1146,345,1504_823_381,21_29_14,13,[8_25] (18_1),13,[8_25] (16_1),2091,[1750_2550],2092,[1750_2550],61,16,[0_20] (3_1),83,10.46,11.66,577,526
3-3,971,2888,20,2746,2734,235,2429,1508_833_356,18_13_6,13,[6_28] (1_1),13,[7_28] (12_1),3853,[3210_4310],3853,[3210_4295],88,21,[0_28] (1_1),129,4.92,5.33,346,271
3-4,858,2879,20,1968,1930,1276,452,1771_0_0,67_30_22,18,[5_32] (1_1),18,[8_32] (2_1),3284,[2615_4015],3284,[2615_4015],101,21,[0_28] (1_2),126,31.64,32.96,987,901
3-5,852,3502,20,1749,1639,764,95,449_1011_508,32_96_45,15,[6_28] (15_1),15,[6_28] (15_1),2358,[1650_2805],2361,[1650_2805],100,21,[2_28] (1_2),143,50.06,53.20,1563,1283
4-1,703,1952,15,1628,1589,994,113,841_512_202,93_25_17,13,[6_23] (2_1),13,[6_23] (2_1),3340,[2915_3915],3340,[2915_3915],84,17,[0_18] (2_178),113,16.60,18.60,909,872
4-2,838,2233,20,2230,2229,3,38,767_442_168,0_0_1,12,[8_21] (15_1),12,[8_21] (15_1),2655,[2075_2855],2655,[2075_2855],57,8,[0_20] (1_1),151,0.13,0.18,8,8
4-3,792,1972,20,1927,1914,272,6548,1084_645_259,16_14_2,16,[9_23] (1_17),16,[11_23] (16_16),3665,[3155_4110],3666,[3155_4110],95,21,[1_23] (1_15),118,2.28,2.94,214,201
4-4,734,1920,15,1893,1890,93,1491,1305_542_0,11_3_0,11,[6_19] (3_1),11,[6_19] (3_1),2575,[1815_2830],2576,[1815_2830],64,16,[14_18] (1_8),96,1.41,1.56,76,76
4-5,697,2135,18,1439,1391,1112,333,379_886_423,50_33_35,17,[9_27] (5_1),17,[9_25] (4_1),4796,[4400_5330],4797,[4400_5290],113,20,[1_53] (1_1),131,32.60,34.85,1162,886
4-6,637,1644,10,1524,1506,690,95,302_654_272,31_16_2,9,[6_16] (81_1),9,[6_16] (80_1),2679,[2210_3185],2679,[2210_3185],77,11,[0_13] (1_56),84,7.30,8.39,326,310
5-1,703,1955,20,437,287,475,19,107_116_189,55_98_94,19,[0_31] (7_1),20,[16_31] (2_1),3218,[3050_4100],3193,[3050_4000],97,20,[0_25] (2_10),98,77.65,85.32,2885,2659
5-2,752,1967,15,612,592,275,114,285_107_107,80_6_21,14,[8_29] (1_1),14,[8_24] (1_1),2679,[2155_3615],2665,[2155_3460],89,15,[8_25] (1_2),102,68.89,69.90,1750,1176
5-3,747,1954,20,666,597,440,43,222_290_148,160_56_20,20,[16_25] (1_4),20,[16_25] (1_4),3860,[3400_4455],3861,[3475_4455],91,20,[0_25] (2_3),102,65.92,69.45,2241,2140
5-4,675,1211,25,775,744,185,225,775_0_0,33_21_16,24,[4_32] (1_1),24,[20_32] (6_1),3962,[3650_4905],3961,[3650_4515],106,25,[14_30] (1_4),124,36.00,38.56,874,792
5-5,665,1378,20,645,598,285,14,162_329_143,41_24_33,19,[4_35] (1_1),19,[13_28] (3_1),3117,[2750_3850],3110,[2750_3600],108,20,[16_25] (1_7),125,53.19,56.60,1307,1212
5-6,642,1780,15,429,316,350,11,252_144_0,51_95_38,15,[8_23] (1_2),15,[10_23] (4_2),2568,[2270_3265],2563,[2270_3265],87,15,[0_20] (1_10),89,75.90,82.25,2087,1875
6-1,461,2739,20,2509,2489,450,243,1373_792_356,33_15_11,16,[9_30] (7_1),16,[9_30] (7_1),2480,[1995_3060],2480,[1995_3060],75,20,[0_23] (4_71),130,8.40,9.13,409,394
6-2,486,3271,17,3128,3114,330,385,275_174_79,14_12_15,12,[10_42] (337_1),12,[10_21] (336_5),2250,[1700_3500],2250,[1800_2550],56,17,[0_25] (2_1),111,4.37,4.80,603,448
6-3,465,2944,20,2925,2924,60,94,1627_936_338,3_0_1,14,[8_23] (3_1),14,[8_23] (3_1),3335,[2950_3660],3335,[2950_3660],70,17,[1_23] (1_4),80,0.65,0.68,23,23
6-4,434,2701,20,2677,2677,48,187,629_1512_535,6_0_0,13,[7_23] (10_4),13,[7_23] (10_4),3402,[2855_3795],3402,[2855_3795],81,17,[0_23] (3_5),103,0.89,0.89,35,30
6-5,420,2414,20,2368,2364,77,139,417_1003_385,5_3_1,13,[7_24] (2_1),13,[7_24] (2_1),2931,[2320_3250],2931,[2320_3250],72,19,[0_23] (2_14),98,1.91,2.07,92,63
6-6,392,2175,15,2163,2163,36,162,535_1049_431,13_0_0,9,[5_18] (18_2),9,[5_18] (18_2),2797,[2330_3230],2797,[2330_3230],66,12,[1_18] (2_4),216,0.55,0.55,65,65
7-1,590,3969,18,3167,3125,1627,216,2264_361_392,278_41_12,15,[7_26] (1_4),15,[7_26] (1_3),2959,[2350_3550],2959,[2350_3490],79,20,[0_26] (1_1),110,20.21,21.26,2072,1896
7-2,614,4530,15,1834,1743,2529,297,1255_239_284,132_61_66,15,[0_39] (1_1),15,[8_30] (1_1),2440,[2045_4050],2433,[2045_3450],108,17,[0_28] (1_2),127,59.51,61.52,3074,2327
7-3,614,3479,15,3112,3090,1629,163,1613_257_262,69_16_10,13,[9_22] (26_1),13,[9_22] (25_1),2283,[1905_2995],2283,[1905_2995],69,16,[1_18] (2_148),89,10.55,11.18,670,645
7-4,516,3369,18,1964,1925,1588,328,428_888_435,176_21_37,17,[0_39] (1_1),17,[10_39] (1_1),3437,[2200_4730],3438,[2200_4730],76,20,[0_26] (3_5),95,41.70,42.86,2329,1984
8-1,501,2657,20,913,819,1977,137,681_464_225,296_84_66,21,[12_54] (1_1),21,[12_32] (1_1),3860,[3300_5705],3838,[3300_4450],150,22,[8_33] (1_1),153,65.64,69.18,4043,3458
8-2,555,2654,15,1822,1758,2262,850,1397_177_235,146_51_32,15,[1_30] (1_1),15,[8_23] (1_1),3002,[2275_4070],2998,[2275_3525],89,17,[6_18] (1_446),107,31.35,33.76,1749,1639
8-3,523,2262,15,1165,1095,2685,2853,1192_158_152,55_58_37,16,[10_29] (1_1),16,[10_29] (1_1),5991,[5315_6770],5993,[5375_6770],109,17,[14_23] (1_8),108,48.50,51.59,1838,1538
8-4,488,2212,18,1702,1666,1387,199,1344_173_166,85_43_11,17,[9_31] (1_2),17,[9_31] (1_2),3041,[2450_3765],3041,[2450_3765],92,20,[0_26] (1_1),153,23.06,24.68,1146,1057
9-1,439,1377,15,1096,1062,1088,544,700_129_127,112_30_25,14,[3_27] (1_1),14,[8_27] (1_1),3164,[2740_3970],3165,[2740_3970],94,17,[1_23] (1_2),154,20.41,22.88,1333,1213
9-2,425,1404,15,889,832,1510,43,658_128_103,77_54_24,16,[7_27] (1_1),16,[7_27] (1_1),2949,[2650_3585],2949,[2650_3585],101,17,[11_23] (1_3),121,36.68,40.74,1427,1295
9-3,421,1341,15,970,929,752,63,54_6_15,51_20_34,14,[3_24] (1_2),14,[10_24] (51_1),2420,[1955_3200],2419,[2150_3050],83,17,[2_23] (1_2),121,27.67,30.72,935,841
9-4,360,1279,20,610,590,1289,442,147_274_195,147_6_20,21,[13_43] (3_1),21,[13_43] (3_1),5166,[4040_6905],5160,[4040_6905],145,22,[0_33] (1_1),165,52.31,53.87,2126,1917
10-1,281,819,16,159,89,600,33,74_55_26,87_79_58,19,[10_33] (1_1),20,[14_33] (1_1),4675,[4350_5550],4725,[4350_5550],128,16,[16_21] (639_21),103,80.59,89.13,3212,2885
10-2,302,918,20,142,36,540,15,81_59_23,146_128_90,23,[4_54] (1_1),26,[16_44] (2_1),4189,[3800_5555],4323,[3880_5165],180,20,[0_30] (1_1),133,84.53,96.08,4429,3993
10-3,297,690,20,232,195,335,16,133_104_0,80_34_15,20,[14_32] (1_1),20,[15_32] (1_1),3278,[2800_4255],3281,[2850_4255],118,20,[20_25] (452_6),114,66.38,71.74,1735,1487
10-4,285,502,20,308,280,80,28,75_163_65,72_19_16,17,[9_35] (2_1),17,[9_35] (1_1),4196,[3500_6000],4162,[3500_5550],116,20,[16_25] (1_5),133,38.65,44.22,943,846
10-5,264,540,20,242,205,205,7,57_131_64,94_25_23,20,[12_28] (1_3),20,[12_28] (1_1),3404,[3000_4150],3389,[3000_4150],131,20,[19_25] (1_1),129,55.19,62.04,1309,1248
11-1,174,1102,20,1066,1048,144,479,582_345_140,17_12_6,15,[7_26] (5_1),15,[7_26] (5_1),4167,[3650_4650],4166,[3650_4650],91,21,[20_23] (24_12),122,3.27,4.90,257,244
11-2,188,1319,20,1237,1215,143,43,442_274_120,23_19_9,12,[5_24] (8_1),12,[5_23] (6_15),3929,[3155_5370],3925,[3155_5370],68,21,[11_23] (1_42),104,6.22,7.88,349,327
11-3,176,1251,22,882,842,771,102,823_121_122,62_41_13,21,[12_38] (2_1),21,[12_38] (2_1),5162,[4710_5975],5164,[4740_5975],122,23,[5_30] (1_1),141,29.50,32.69,944,901
11-4,166,982,20,831,800,295,174,81_164_86,28_33_29,15,[6_33] (1_1),15,[8_26] (6_1),3266,[2805_3650],3269,[2805_3650],74,21,[9_23] (1_70),99,15.38,18.53,794,742
12-1,167,941,20,797,778,400,40,451_243_103,27_30_3,17,[11_29] (7_1),17,[11_29] (7_1),2531,[2100_3205],2531,[2100_3205],129,21,[5_35] (1_1),144,15.30,17.32,533,471
12-2,170,958,20,624,597,1170,773,529_296_144,107_18_18,21,[10_39] (1_1),21,[10_39] (1_1),5322,[4215_6590],5306,[4215_6590],158,22,[17_33] (1_2),175,34.86,37.68,1978,1792
12-3,175,1059,20,659,640,1064,842,524_263_183,128_18_13,20,[11_41] (1_1),20,[11_41] (1_1),5270,[4170_6630],5262,[4170_6630],164,22,[5_38] (1_1),185,37.77,39.57,1483,1332
12-4,171,987,18,484,386,1169,190,326_76_81,63_99_30,20,[9_34] (1_1),20,[15_26] (3_4),3170,[2650_4355],3162,[2650_3725],107,20,[0_26] (1_3),107,50.96,60.89,1760,1644
13-1,149,532,20,531,525,21,86,290_171_70,6_1_5,14,[8_23] (4_1),14,[8_23] (3_1),3798,[3405_4150],3799,[3405_4150],81,23,[23_23] (1_1),130,0.19,1.32,77,77
13-2,169,829,18,407,320,747,13,295_60_61,97_98_37,19,[13_48] (1_1),19,[13_45] (1_1),3305,[2880_4875],3293,[2975_4530],108,20,[16_31] (1_1),129,50.90,61.40,2423,2214
13-3,168,617,18,338,258,727,13,188_95_61,95_80_49,19,[12_57] (1_1),19,[13_28] (1_5),3313,[2955_5125],3302,[3035_3925],118,20,[11_36] (1_1),120,45.22,58.18,2597,2295
13-4,149,511,23,350,291,506,59,254_36_52,78_45_46,23,[0_42] (3_1),23,[16_41] (3_1),3849,[2800_5000],3851,[3200_4740],117,25,[0_31] (1_1),136,31.51,43.05,1488,1462
14-1,124,369,15,300,279,642,93,50_120_129,71_5_17,16,[9_34] (2_1),16,[9_34] (2_1),4202,[3550_5615],4176,[3550_5615],123,17,[7_18] (1_53),134,18.70,24.39,1121,1102
14-2,129,470,15,262,191,639,44,231_38_38,94_63_28,17,[5_28] (1_3),17,[9_28] (2_1),5645,[4930_6880],5616,[4990_6880],120,17,[13_23] (1_6),124,44.26,59.36,1696,1552
14-3,136,370,20,369,365,16,602,129_78_37,2_0_6,11,[6_22] (11_1),11,[6_21] (11_3),5418,[4750_6130],5420,[4750_6130],80,7,[7_7] (1_1),250,0.27,1.35,77,77
14-4,130,386,28,236,189,619,331,216_43_59,74_58_22,29,[21_54] (4_1),29,[21_54] (4_1),5978,[4950_7090],5951,[4950_7090],138,31,[21_36] (1_3),147,38.86,51.04,1612,1568
15-1,113,308,18,137,22,315,6,86_22_0,77_112_106,19,[9_35] (1_1),19,[17_24] (5_1),3535,[3025_4950],3352,[3050_3605],132,19,[15_33] (1_1),130,55.52,92.86,3300,2848
15-2,106,313,20,131,86,625,13,110_14_25,155_11_48,25,[16_40] (2_1),25,[16_40] (1_1),5097,[3755_6895],5081,[4100_6895],199,21,[20_30] (162_3),168,58.15,72.52,3449,3037
15-3,115,267,22,151,81,310,372,4_0_1,137_68_59,22,[1_73] (1_1),23,[16_58] (1_1),3911,[2800_5920],3859,[3520_5270],130,23,[0_57] (1_1),128,43.45,69.66,3160,2678
15-4,97,240,18,66,16,40,0,0,1_1_74,13,[0_31] (2_1),17,[15_23] (3_1),2039,[1600_2750],1742,[1700_2000],124,18,[0_33] (1_2),148,72.50,93.33,1042,727
