Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1,1579,1811,15,1652,1652,0,5,0,0,4,[3_15] (1307_11),4,[3_15] (1307_11),1900,[1305_1950],1900,[1305_1950],40,14,[1_15] (7_150),209,8.78,8.78,0,0
2,1424,1675,15,1453,1453,0,6,1_0_0,0,4,[3_15] (1143_5),4,[3_15] (1143_5),2482,[1610_2580],2482,[1610_2580],41,13,[0_15] (18_186),487,13.25,13.25,0,0
3,1308,1443,18,1365,1365,0,0,0,0,6,[4_18] (168_2),6,[4_18] (168_2),2196,[1500_2300],2196,[1500_2300],43,16,[2_18] (1_64),79,5.41,5.41,0,0
4,1237,1531,10,1265,1264,0,3,0,1_0_1,4,[3_10] (674_17),4,[3_10] (674_17),1834,[1330_1885],1834,[1330_1880],39,10,[0_10] (2_257),48,17.37,17.44,61,13
5,1168,1261,15,1220,1218,0,30,7_3_2,1_0_2,8,[5_15] (82_1),8,[5_15] (82_1),2022,[1400_2180],2022,[1400_2180],51,14,[0_15] (3_37),67,3.25,3.41,31,21
6,1130,1516,12,1164,1160,0,12,6_2_2,4_0_4,9,[6_12] (50_113),9,[6_12] (50_111),2052,[1700_2250],2053,[1700_2250],56,12,[0_12] (2_340),139,23.22,23.48,52,52
7,1089,1185,17,1149,1149,0,14,3_7_2,0,5,[3_17] (137_5),5,[3_17] (137_5),2868,[2105_3020],2868,[2105_3020],52,15,[0_17] (1_31),84,3.04,3.04,5,0
8,1067,1161,10,1118,1118,0,8,1_2_0,66_0_0,5,[3_11] (280_2),5,[3_11] (280_2),1770,[1300_2050],1770,[1300_2050],63,10,[2_10] (1_40),74,3.70,3.70,355,330
9,1042,1294,12,1087,1083,20,1076,8_2_0,116_0_4,9,[5_20] (23_1),9,[5_20] (23_1),2140,[1600_2465],2139,[1600_2465],68,12,[0_17] (1_1),91,16.00,16.31,760,610
10,1025,1137,10,1073,1073,0,13,9_4_1,45_0_0,6,[3_12] (54_1),6,[3_12] (54_1),2644,[2155_2935],2644,[2155_2935],73,10,[4_10] (1_63),73,5.63,5.63,245,225
11,1008,1114,15,1078,1076,15,240,7_1_0,37_1_1,9,[3_30] (31_1),9,[3_30] (31_1),3377,[2820_3780],3377,[2820_3780],69,15,[15_15] (36_36),163,3.23,3.41,272,237
12,995,1990,15,992,991,20,437,7_7_0,93_0_1,10,[4_26] (18_1),10,[4_26] (18_1),3798,[3090_4395],3798,[3090_4395],87,15,[2_25] (1_1),225,50.15,50.20,1538,481
13,921,1053,15,968,966,5,413,8_2_0,48_0_3,9,[4_16] (17_4),9,[4_16] (17_4),2653,[1950_3330],2653,[1950_3330],74,14,[2_15] (2_78),171,8.07,8.26,297,265
14,911,1006,10,954,951,10,737,3_0_0,28_4_2,6,[0_15] (1_1),6,[4_11] (122_4),2236,[1955_2730],2236,[1955_2485],55,10,[0_10] (1_49),65,5.17,5.47,202,192
15,901,1128,20,937,935,0,60,7_5_0,25_2_3,15,[0_21] (1_4),15,[9_21] (9_4),2551,[2100_3250],2551,[2100_2870],78,20,[0_20] (1_184),160,16.93,17.11,218,163
16,879,963,15,940,939,0,37,4_2_0,5_2_1,8,[2_15] (1_8),8,[5_15] (71_8),2537,[2080_2825],2537,[2080_2770],69,14,[7_15] (2_21),89,2.39,2.49,47,47
17,878,1487,10,898,895,45,1,9_1_1,66_2_3,8,[5_19] (150_1),8,[5_19] (150_1),1850,[1450_2550],1849,[1450_2550],50,10,[3_10] (1_577),62,39.61,39.81,518,390
18,855,1140,10,891,886,35,64,5_0_1,31_0_7,8,[0_17] (1_1),8,[5_17] (45_1),2252,[1930_2680],2251,[1930_2680],61,10,[0_10] (1_241),67,21.84,22.28,249,219
19,836,1036,15,873,868,25,12,6_3_1,46_5_0,11,[6_25] (2_1),11,[6_25] (1_1),2556,[2100_3150],2556,[2100_3150],91,15,[1_15] (1_158),331,15.73,16.22,313,273
20,811,878,15,854,852,10,62,829_0_0,18_2_1,7,[4_18] (66_1),7,[4_16] (66_3),2907,[2210_3160],2908,[2210_3160],117,15,[15_15] (24_24),125,2.73,2.96,125,110
21,812,1396,10,834,832,30,8,824_8_12,132_1_1,9,[6_15] (23_1),9,[6_15] (23_1),2256,[1950_2650],2256,[1950_2650],77,10,[0_15] (1_1),101,40.26,40.40,808,674
