Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1-1,197,523,15,505,505,33,5,59_22_15,1_0_0,12,[9_17] (5_2),12,[9_17] (5_2),2806,[1950_3380],2806,[1950_3380],53,12,[0_18] (4_2),53,3.44,3.44,5,5
1-2,234,545,20,545,545,3,15,247_138_65,0,9,[3_22] (7_1),9,[3_22] (7_1),6282,[4280_7640],6282,[4280_7640],60,,,,,,0,0
1-3,320,898,15,879,879,33,127,387_197_75,2_0_0,9,[6_18] (120_4),9,[6_18] (120_4),4213,[2830_4825],4213,[2830_4825],68,13,[0_18] (1_4),93,2.12,2.12,10,10
1-4,326,865,15,863,862,6,7,13_18_6,0_1_0,9,[6_16] (33_2),9,[6_16] (33_2),3515,[2200_4055],3515,[2200_4055],42,8,[15_15] (1_1),48,0.23,0.35,7,7
1-5,268,720,15,717,717,0,2,7_21_1,1_0_0,6,[3_15] (86_1),6,[3_15] (86_1),3943,[2030_4480],3943,[2030_4480],40,5,[15_15] (1_1),27,0.42,0.42,5,5
1-6,276,755,15,755,755,0,18,3_6_1,0,3,[2_14] (292_1),3,[2_14] (292_1),4519,[2480_4850],4519,[2480_4850],39,,,,,,0,0
1-7,265,675,20,660,659,9,51,84_168_59,0_1_0,9,[7_23] (226_1),9,[7_23] (226_1),5006,[2850_5540],5007,[2850_5540],60,21,[20_23] (11_4),98,2.22,2.37,7,7
1-8,215,628,20,533,531,0,41,392_51_54,4_0_3,8,[4_20] (13_1),8,[4_19] (13_1),5107,[3205_5795],5109,[3205_5795],55,20,[0_23] (1_14),91,15.13,15.45,58,45
1-9,244,566,15,562,561,6,5,259_70_22,1_1_0,7,[2_18] (52_1),7,[2_18] (52_1),3740,[2015_4680],3739,[2015_4680],48,15,[15_15] (4_4),89,0.71,0.88,12,12
1-10,230,542,20,530,527,45,26,134_290_100,2_2_1,15,[9_24] (1_1),15,[9_24] (1_1),3686,[2400_4750],3690,[2400_4750],84,20,[20_23] (11_1),103,2.21,2.77,32,32
2-1,330,940,15,807,802,159,1,418_265_124,4_3_2,13,[10_18] (77_15),13,[10_18] (77_15),2978,[2350_3500],2980,[2350_3500],81,15,[10_20] (1_1),135,14.15,14.68,85,57
2-2,528,1466,14,1423,1415,110,25,34_18_11,3_8_1,12,[7_17] (2_4),12,[9_17] (53_4),2243,[1730_3215],2242,[1730_2850],51,14,[0_17] (2_8),120,2.93,3.48,94,87
