Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1-1,1376,6037,15,5537,5530,880,35,2353_1544_728,37_4_3,13,[9_23] (9_2),13,[9_23] (9_2),2317,[1700_2750],2317,[1700_2750],88,15,[0_23] (8_1),418,8.28,8.40,355,234
1-2,1624,8074,20,5984,5906,2629,1098,2753_1662_811,114_83_27,17,[0_30] (1_3),17,[8_30] (1_1),3844,[3170_4700],3844,[3170_4505],126,21,[0_28] (20_3),257,25.89,26.85,1767,1362
1-3,1532,6803,15,6707,6691,164,870,3265_2194_922,11_16_1,8,[5_19] (450_2),8,[5_19] (449_2),3305,[2700_3575],3306,[2700_3575],81,14,[0_18] (9_27),514,1.41,1.65,179,174
2-1,1296,5336,15,4620,4601,850,6,2288_1570_762,53_15_6,13,[8_27] (1_1),13,[10_20] (390_2),2622,[2250_3100],2622,[2250_3100],146,16,[0_23] (3_1),269,13.42,13.77,546,427
2-2,1510,6141,10,5929,5913,1076,56,23_11_8,28_12_5,8,[5_14] (1_1),8,[6_14] (307_1),1723,[1455_2160],1723,[1455_2160],48,10,[0_13] (2_27),75,3.45,3.71,273,263
2-3,1514,6384,10,5545,5482,1205,29,2061_1378_616,51_46_25,7,[4_18] (1_2),7,[5_18] (811_1),2442,[2050_4170],2439,[2050_4170],86,11,[0_18] (3_1),201,13.14,14.13,862,775
3-1,1260,4805,20,4802,4802,0,0,0,4_0_0,7,[6_18] (729_1),7,[6_18] (729_1),2344,[1300_2590],2344,[1300_2590],53,2,[7_7] (1_1),45,0.06,0.06,27,20
3-2,1399,5573,15,4874,4787,2141,385,2453_1594_757,45_77_25,13,[6_21] (1_2),13,[8_21] (10_2),2085,[1750_2750],2085,[1750_2550],74,16,[4_20] (1_2),159,12.54,14.10,1166,953
3-3,1426,5459,20,5108,5076,431,4244,2281_1545_711,32_38_9,13,[7_30] (12_1),13,[7_30] (12_1),3845,[3155_4210],3846,[3155_4210],111,21,[5_28] (1_1),200,6.43,7.02,772,500
4-1,1205,4747,15,3907,3841,2241,241,1933_1307_687,218_42_29,13,[6_23] (8_1),13,[6_23] (8_1),3331,[2850_3855],3331,[2850_3855],98,17,[10_23] (1_2),381,17.70,19.09,1693,1610
4-2,1374,5095,20,5092,5090,9,84,2559_1699_763,6_5_1,12,[2_22] (1_1),12,[7_22] (33_1),2645,[1905_3255],2645,[1905_2865],76,8,[0_20] (1_1),216,0.06,0.10,71,71
4-3,1387,4688,20,4589,4566,557,15580,1134_745_320,25_18_7,16,[11_24] (9_3),16,[11_24] (9_3),3665,[3050_4110],3665,[3050_4110],103,20,[0_23] (3_38),185,2.11,2.60,317,307
5-1,1125,4239,20,1024,701,760,33,231_243_524,116_207_192,19,[0_31] (4_1),19,[14_31] (1_1),3204,[3050_4100],3197,[3050_3755],149,20,[0_35] (6_1),222,75.84,83.46,4040,3608
5-2,1328,4786,15,1209,1198,540,220,687_318_124,183_9_5,14,[9_32] (15_1),14,[9_30] (15_1),2636,[2055_3645],2632,[2055_3645],130,15,[0_30] (1_2),248,74.74,74.97,2182,1119
5-3,1284,3657,20,1794,1653,590,71,1267_1197_752,211_108_42,19,[15_27] (1_3),19,[16_27] (8_3),3813,[3300_4650],3811,[3300_4650],99,20,[8_25] (1_5),225,50.94,54.80,2428,2154
6-1,664,5235,20,2989,2902,3522,373,2113_1438_993,178_75_45,20,[10_38] (1_1),20,[13_38] (8_1),2363,[2005_3055],2362,[2005_3055],163,21,[0_28] (6_8),255,42.90,44.57,2196,1812
6-2,753,7185,17,3398,3349,4233,1219,1801_1067_453,169_51_11,17,[11_48] (1_1),17,[12_48] (1_1),2210,[1900_3750],2209,[1900_3750],106,18,[0_25] (6_7),179,52.71,53.39,2245,1571
6-3,765,4611,20,4575,4559,134,89,2306_1568_734,12_10_7,14,[8_25] (8_1),14,[8_25] (8_1),3328,[2900_3670],3328,[2900_3670],79,18,[0_23] (2_8),269,0.78,1.13,186,186
7-1,599,3335,20,3052,3023,873,178,1791_1073_642,173_26_10,16,[7_28] (2_1),16,[7_28] (2_1),3100,[2400_3650],3099,[2400_3650],104,21,[0_26] (1_1),314,8.49,9.36,1168,1123
7-2,696,3683,20,3576,3560,232,725,1666_1170_551,54_12_6,12,[6_26] (7_1),12,[6_26] (7_1),2614,[1800_3050],2615,[1800_3050],109,20,[0_23] (1_46),316,2.91,3.34,408,403
7-3,684,3768,15,3499,3474,1400,185,1657_1158_563,84_20_7,13,[8_21] (34_2),13,[8_21] (34_2),2274,[1900_2780],2274,[1900_2780],81,16,[9_18] (1_97),274,7.14,7.80,620,615
8-1,580,3454,20,1256,1168,2179,151,991_840_490,374_78_44,21,[10_46] (1_1),21,[12_41] (1_1),3819,[3340_5465],3811,[3350_5465],176,22,[0_33] (1_1),245,63.64,66.18,3606,3050
8-2,680,3130,20,3023,3010,227,1149,1558_1060_501,28_9_5,14,[0_33] (1_1),14,[5_23] (7_11),3168,[2630_3895],3167,[2630_3570],85,21,[6_23] (1_54),265,3.42,3.83,264,250
8-3,678,3294,20,3264,3257,196,4020,1460_933_453,3_3_4,12,[4_28] (39_1),12,[4_28] (39_1),5348,[4650_6020],5348,[4650_6020],92,22,[18_23] (1_20),225,0.91,1.12,68,68
9-1,523,2274,20,2204,2190,420,829,1245_836_429,53_13_5,15,[1_28] (1_1),15,[7_28] (2_1),3503,[2755_4140],3503,[2755_4125],105,22,[20_23] (23_47),150,3.08,3.69,416,404
9-2,599,2587,17,2047,1967,2408,100,1088_802_383,100_62_25,17,[8_30] (3_1),17,[8_30] (3_1),3029,[2550_3690],3029,[2550_3690],140,19,[3_20] (1_313),435,20.87,23.97,1259,1158
9-3,593,2445,15,1335,1258,1523,103,235_173_123,129_30_66,15,[4_25] (1_1),15,[10_24] (78_3),2424,[1900_2955],2424,[2110_2955],114,17,[0_28] (1_1),313,45.40,48.55,1671,1396
10-1,458,1776,16,248,158,795,34,125_81_72,132_74_55,19,[13_30] (2_1),19,[14_30] (1_1),4624,[4350_5305],4650,[4350_5305],172,16,[14_26] (1_2),148,86.04,91.10,2333,1916
10-2,530,2120,20,251,117,705,33,151_139_100,187_132_91,22,[11_49] (1_1),23,[13_49] (1_1),4104,[3750_5370],4126,[3760_5370],174,20,[6_35] (1_1),350,88.16,94.48,4471,3553
10-3,489,1405,22,566,498,490,25,369_303_0,132_46_29,21,[14_37] (1_1),21,[15_37] (6_1),3376,[2800_4250],3370,[2800_4250],119,22,[20_27] (1_10),288,59.72,64.56,1691,1352
11-1,198,1479,20,852,793,599,426,567_347_222,45_33_41,17,[7_30] (1_2),17,[7_30] (1_2),4211,[3670_4835],4208,[3670_4835],117,20,[0_28] (1_4),305,42.39,46.38,1027,796
11-2,244,1509,20,1299,1260,297,43,611_454_246,41_35_11,14,[6_30] (1_2),14,[6_30] (1_1),3950,[2805_6505],3942,[2805_6505],155,21,[1_28] (1_1),447,13.92,16.50,574,550
11-3,219,1419,25,1226,1190,432,184,1036_733_339,63_33_5,21,[12_39] (2_1),21,[12_39] (1_1),5336,[4670_6320],5338,[4670_6320],134,26,[0_30] (1_1),505,13.60,16.14,664,635
12-1,189,859,20,792,783,288,25,405_288_151,18_8_1,17,[9_29] (1_1),17,[9_28] (1_1),2518,[2000_2900],2519,[2000_2900],91,22,[20_23] (31_36),143,7.80,8.85,165,153
