Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
1,3486,3784,15,3758,3757,0,1,0,0_0_1,2,[2_15] (2943_5),2,[2_15] (2942_5),3865,[1350_3955],3865,[1350_3955],24,13,[0_15] (1_23),69,0.69,0.71,8,8
2,3077,3630,20,3203,3202,0,17,0_0_2,0_0_1,6,[4_20] (1019_12),6,[4_20] (1019_12),5229,[1965_5680],5229,[1965_5680],48,17,[0_20] (33_337),79,11.76,11.79,8,8
3,2787,3273,18,2985,2985,0,5,1_0_0,0,7,[4_18] (1198_16),7,[4_18] (1198_16),3893,[1100_4400],3893,[1100_4400],39,16,[0_18] (1_245),77,8.80,8.80,5,0
4,2560,2830,20,2677,2676,0,188,4_0_0,2_0_1,5,[2_20] (124_10),5,[2_20] (124_10),4991,[1875_5635],4992,[1875_5635],37,18,[0_20] (7_134),100,5.41,5.44,56,18
5,2461,2847,17,2603,2603,0,118,1_0_1,1_0_0,7,[5_17] (5_6),7,[5_17] (5_6),3854,[1350_4200],3854,[1350_4200],43,16,[0_17] (3_232),55,8.57,8.57,5,5
6,2379,2837,20,2478,2475,0,11,7_3_3,7_0_3,9,[6_22] (264_1),9,[6_22] (264_1),4623,[2155_5400],4625,[2155_5400],57,19,[0_20] (3_336),90,12.65,12.76,102,59
7,2300,2577,17,2441,2440,0,52,9_3_0,3_0_1,5,[3_17] (266_7),5,[3_17] (266_7),4628,[2255_5735],4628,[2255_5735],42,15,[0_17] (5_114),93,5.28,5.32,43,23
8,2257,2563,15,2467,2466,0,33,0_1_0,187_1_0,5,[3_17] (695_1),5,[3_17] (695_1),3817,[1600_4955],3818,[1600_4955],51,13,[0_15] (5_84),90,3.75,3.78,1177,942
9,2196,2937,12,2334,2328,10,2261,6_6_3,271_1_5,9,[5_18] (53_1),9,[5_14] (53_4),2658,[1500_3990],2658,[1500_3990],64,12,[0_12] (4_573),73,20.53,20.74,2055,1430
10,2133,2569,10,2362,2361,0,50,12_6_0,110_0_1,6,[3_11] (111_7),6,[3_11] (111_7),3281,[2155_4380],3281,[2155_4380],47,9,[0_15] (1_1),65,8.06,8.10,662,558
11,2062,2565,15,2401,2398,5,519,7_0_2,76_2_2,9,[3_17] (43_1),9,[3_17] (42_1),4324,[2820_5845],4323,[2820_5845],61,14,[0_15] (3_145),94,6.39,6.51,472,419
12,2008,2662,20,2292,2287,5,314,27_7_4,233_0_6,13,[7_25] (23_1),13,[7_25] (23_1),5060,[3210_7905],5060,[3210_7905],83,19,[0_30] (3_1),116,13.90,14.09,1594,1223
13,1920,2482,15,2143,2136,25,827,12_7_0,116_1_8,9,[0_32] (1_1),9,[4_18] (36_2),3659,[1650_5635],3657,[1650_5125],62,13,[0_15] (27_275),78,13.66,13.94,924,747
14,1880,2254,10,2061,2055,10,1498,1_0_0,72_3_9,6,[0_14] (1_1),6,[4_14] (212_1),2779,[1950_3950],2779,[1950_3805],44,10,[0_10] (3_184),56,8.56,8.83,492,472
15,1872,3122,20,2082,2070,50,168,26_8_7,126_3_12,16,[0_33] (1_1),16,[10_29] (4_1),3140,[2100_6340],3140,[2100_6340],82,20,[0_25] (6_1),95,33.31,33.70,1450,888
16,1736,2061,15,1956,1955,5,84,3_2_0,15_0_3,8,[1_20] (1_1),8,[5_20] (108_1),3517,[2050_4970],3516,[2050_4240],56,14,[0_15] (1_96),87,5.09,5.14,159,109
17,1729,3359,10,1944,1934,120,9,28_3_4,150_1_11,8,[5_21] (287_1),8,[5_20] (287_2),2305,[1450_3600],2304,[1450_3600],51,10,[0_15] (1_1),57,42.13,42.42,1570,1122
18,1673,2479,10,1923,1911,70,133,10_3_0,84_3_12,8,[0_24] (1_1),8,[4_24] (2_1),2603,[1905_4075],2602,[1905_3905],53,10,[0_15] (3_1),60,22.43,22.91,823,714
19,1628,2128,15,1773,1767,65,19,57_3_2,89_5_6,11,[0_30] (1_1),11,[7_26] (86_1),3329,[2050_5460],3327,[2050_4355],70,14,[0_15] (4_331),88,16.68,16.96,769,694
20,1604,1767,15,1717,1715,0,123,3382_16_19,24_2_5,7,[1_16] (1_2),7,[4_16] (147_2),4167,[2410_5360],4166,[2410_5010],80,14,[0_15] (1_47),120,2.83,2.94,195,175
21,1616,2949,10,1786,1771,105,39,1725_17_33,260_6_14,9,[6_20] (71_1),9,[6_16] (71_1),2592,[1900_4300],2589,[1900_3735],73,10,[0_15] (2_1),77,39.44,39.95,1959,1685
22,1571,1667,20,1653,1651,5,552,295_3_5,11_0_2,7,[4_24] (419_1),7,[4_24] (419_1),5706,[3005_6550],5706,[3005_6550],50,16,[1_20] (2_9),113,0.84,0.96,118,80
23,1561,2825,15,1623,1606,120,278,1553_14_60,178_5_18,13,[7_26] (13_1),13,[7_22] (13_1),4783,[3925_7180],4778,[3925_5970],104,15,[0_20] (2_1),113,42.55,43.15,1765,1327
24,1517,2106,10,1685,1675,25,10,499_13_10,97_2_10,8,[3_13] (1_1),8,[4_13] (79_1),2721,[1930_4380],2719,[1930_3730],54,10,[1_15] (1_1),64,19.99,20.47,694,625
