Level,User Count,Play Count,Start Moves,Win Count,Win No Booster Count,Win Extra Moves,Win Merged RB,Win Garage SCs,Win Booster SCs,Win Moves,Win Moves Range,Win No Booster Moves,Win No Booster Moves Range,Win Scores,Win Scores Range,Win No Booster Scores,Win No Booster Scores Range,Win Time,Lose Moves,Lose Moves Range,Lose Time,Lose Rate (%),Lose No Booster Rate (%),Used Coins,Win Used Coins
477,18,24,20,18,16,25,14,13_13_5,9_1_1,20,[17_26] (2_1),20,[17_26] (2_1),3845,[2845_5000],3835,[2845_5000],122,20,[18_20] (1_5),128,25.00,33.33,115,115
478,18,40,20,18,15,5,14,14_11_6,4_6_3,18,[11_21] (1_2),18,[11_21] (1_1),5090,[4355_6220],5034,[4355_6220],129,19,[13_20] (1_17),134,55.00,62.50,94,94
479,18,24,20,18,17,25,2,5_8_5,3_0_1,19,[14_27] (3_1),19,[14_27] (3_1),3368,[2370_4125],3385,[2370_4125],110,16,[0_20] (1_4),120,25.00,29.17,78,78
480,22,191,13,19,8,35,2,4_2_0,8_7_9,13,[8_22] (2_1),15,[13_22] (5_1),3013,[2125_4070],2859,[2125_4070],113,12,[1_18] (2_7),97,90.05,95.81,353,245
481,19,19,20,19,19,0,0,10_8_1,0,6,[6_7] (17_2),6,[6_7] (17_2),4867,[4660_4910],4867,[4660_4910],40,,,,,,0,0
482,19,25,20,19,17,10,1,15_9_6,1_2_0,18,[15_21] (2_3),18,[15_21] (2_3),3447,[2905_3960],3436,[2905_3960],110,18,[13_20] (1_4),111,24.00,32.00,37,37
483,19,20,20,19,19,0,4,11_8_2,0,16,[12_20] (2_1),16,[12_20] (2_1),3562,[2655_4310],3562,[2655_4310],101,20,[20_20] (1_1),128,5.00,5.00,0,0
484,19,30,20,18,13,10,3,17_7_7,2_4_4,17,[11_21] (2_2),17,[11_21] (1_1),3800,[3105_5165],3738,[3105_4870],130,18,[6_20] (1_9),106,40.00,56.67,88,88
485,23,243,20,22,10,55,11,22_13_10,13_5_12,22,[17_34] (2_1),22,[17_30] (1_1),4944,[4435_5500],4949,[4565_5465],173,19,[3_25] (1_3),124,90.95,95.88,359,327
486,22,26,20,22,19,15,7,18_10_8,7_1_2,19,[14_30] (2_1),19,[14_30] (2_1),3890,[3355_4755],3933,[3355_4755],134,20,[20_20] (4_4),196,15.38,26.92,95,95
487,21,26,20,21,21,5,5,22_8_7,6_0_0,18,[8_22] (1_1),18,[8_22] (1_1),5226,[4160_7285],5226,[4160_7285],125,20,[20_20] (5_5),110,19.23,19.23,39,39
488,22,119,20,21,16,40,11,20_14_8,13_5_3,22,[19_28] (4_1),22,[19_27] (2_1),4702,[4285_5940],4556,[4285_5160],143,19,[5_20] (1_84),125,82.35,86.55,248,206
489,21,35,20,21,16,20,3,14_18_6,6_4_2,19,[13_28] (2_1),19,[13_28] (2_1),4525,[3800_5405],4559,[3800_5405],134,20,[20_20] (14_14),121,40.00,54.29,124,119
490,22,48,20,22,19,30,2,14_8_7,4_2_1,19,[14_28] (1_1),19,[14_28] (1_1),3646,[2800_4890],3678,[2800_4890],145,19,[11_20] (1_21),126,54.17,60.42,116,116
491,25,316,20,23,15,55,5,14_18_13,9_8_6,22,[17_32] (2_1),22,[17_28] (2_1),4139,[3575_5720],4066,[3575_4885],139,20,[9_20] (2_266),154,92.72,95.25,300,288
492,23,26,20,23,22,5,5,18_11_4,3_1_0,17,[11_24] (1_1),18,[12_24] (1_1),4075,[3365_5295],4020,[3365_5175],119,20,[20_20] (3_3),99,11.54,15.38,31,31
493,23,26,20,23,22,10,16,14_9_4,2_0_2,17,[9_25] (1_1),17,[9_25] (1_1),5660,[4445_7275],5669,[4445_7275],130,20,[20_20] (3_3),194,11.54,15.38,45,45
494,26,176,15,26,23,40,15,14_7_9,12_3_2,16,[12_29] (2_1),16,[12_29] (2_1),3493,[2365_4945],3495,[2365_4945],108,15,[10_15] (1_144),89,85.23,86.93,219,199
495,30,310,16,27,20,65,40,37_6_0,20_10_4,18,[14_32] (3_1),18,[14_21] (3_2),4955,[4045_6260],4944,[4345_5900],147,16,[9_16] (1_274),119,91.29,93.55,382,377
496,29,37,20,29,28,10,39,31_24_8,3_1_0,18,[14_26] (1_1),18,[14_26] (1_1),4748,[4230_5450],4759,[4230_5450],132,20,[20_20] (8_8),133,21.62,24.32,40,40
